TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
12.11.2023 15:31,604553,0144571331-0010,REFUNDED,-10484.0,-10473.52,-10.48,KZT,HALYK,credit,credit 6 months
12.11.2023 23:07,612125,0130389822-0002,REFUNDED,-82670.0,-82587.33,-82.67,KZT,HALYK,credit,credit 36 months
12.11.2023 20:06,630480,0145950187-0020,REFUNDED,-77782.0,-77704.22,-77.78,KZT,EUABFIS,credit,credit 24 months
12.11.2023 14:05,633110,0138503300-0005,REFUNDED,-14545.0,-14530.45,-14.55,KZT,FASTCASH,credit,credit 12 months
11.11.2023 23:54,635819,0146118129-0003,ISSUED,24666.0,24641.33,24.67,KZT,EUABFIS,credit,credit 12 months
12.11.2023 00:02,635835,0137293224-0007,ISSUED,27549.0,27521.45,27.55,KZT,EUABFIS,credit,credit 12 months
12.11.2023 00:03,635838,0140923659-0002,ISSUED,17444.0,17426.56,17.44,KZT,EUABFIS,credit,credit 24 months
12.11.2023 00:29,635882,0146151259-0006,ISSUED,10771.0,10760.23,10.77,KZT,FASTCASH,credit,credit 12 months
12.11.2023 01:11,635949,84670015-0001,ISSUED,48503.0,48454.5,48.5,KZT,FASTCASH,credit,credit 12 months
12.11.2023 01:18,635957,0146877318-0001,ISSUED,46605.0,46558.39,46.61,KZT,EUABFIS,credit,credit 24 months
12.11.2023 01:30,635976,63459757-0003,ISSUED,19155.0,19135.84,19.16,KZT,EUABFIS,credit,credit 12 months
12.11.2023 01:39,635991,31472861-0002,ISSUED,20903.0,20882.1,20.9,KZT,EUABFIS,credit,credit 12 months
12.11.2023 01:52,636002,0146877318-0002,ISSUED,105013.0,104907.99,105.01,KZT,HALYK,credit,credit 24 months
12.11.2023 02:18,636040,0144424601-0015,ISSUED,55569.0,55513.43,55.57,KZT,HALYK,credit,credit 36 months
12.11.2023 02:41,636062,0144251803-0002,ISSUED,30167.0,30136.83,30.17,KZT,FASTCASH,credit,credit 12 months
12.11.2023 03:29,636084,78052484-0024,ISSUED,30934.0,30903.07,30.93,KZT,EUABFIS,credit,credit 12 months
12.11.2023 05:19,636115,0143384772-0003,ISSUED,10596.0,10585.4,10.6,KZT,EUABFIS,credit,credit 24 months
12.11.2023 05:46,636130,59918911-0008,ISSUED,65729.0,65663.27,65.73,KZT,HALYK,credit,credit 36 months
12.11.2023 07:12,636151,0108386870-0003,ISSUED,22347.0,22324.65,22.35,KZT,EUABFIS,credit,credit 12 months
12.11.2023 07:46,636156,0144850794-0007,ISSUED,22306.0,22283.69,22.31,KZT,EUABFIS,credit,credit 12 months
12.11.2023 08:26,636168,0144594579-0005,ISSUED,26130.0,26103.87,26.13,KZT,FASTCASH,credit,credit 12 months
