TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
27.10.2023 19:14,581427,60328210-0020,REFUNDED,-15162.0,-15146.84,-15.16,KZT,HALYK,credit,credit 6 months
27.10.2023 11:13,586796,0141478231-0014,REFUNDED,-17085.0,-17067.91,-17.09,KZT,HALYK,credit,credit 6 months
27.10.2023 13:02,597323,0145246643-0010,REFUNDED,-637328.0,-636690.67,-637.33,KZT,EUABFIS,credit,credit 36 months
27.10.2023 23:15,597831,0142265529-0003,REFUNDED,-33205.0,-33171.79,-33.21,KZT,EUABFIS,credit,credit 12 months
27.10.2023 14:03,599098,0139886137-0004,REFUNDED,-34412.0,-34377.59,-34.41,KZT,EUABFIS,credit,credit 24 months
26.10.2023 23:55,600125,69142228-0006,ISSUED,43792.0,43748.21,43.79,KZT,FASTCASH,credit,credit 12 months
27.10.2023 01:08,600191,0143278390-0006,ISSUED,20359.0,20338.64,20.36,KZT,HALYK,credit,credit 6 months
27.10.2023 01:44,600215,0144759587-0003,ISSUED,33949.0,33915.05,33.95,KZT,FASTCASH,credit,credit 12 months
27.10.2023 02:43,600242,0145484003-0005,ISSUED,15698.0,15682.3,15.7,KZT,EUABFIS,credit,credit 12 months
27.10.2023 07:43,600304,0139170854-0009,ISSUED,24678.0,24653.32,24.68,KZT,EUABFIS,credit,credit 24 months
27.10.2023 08:58,600337,0145292388-0009,ISSUED,20296.0,20275.7,20.3,KZT,EUABFIS,credit,credit 12 months
27.10.2023 09:15,600349,0138166009-0010,ISSUED,33138.0,33104.86,33.14,KZT,HALYK,credit,credit 6 months
27.10.2023 09:21,600353,0138166009-0011,ISSUED,39737.0,39697.26,39.74,KZT,HALYK,credit,credit 6 months
27.10.2023 09:26,600357,0138166009-0012,ISSUED,11280.0,11268.72,11.28,KZT,HALYK,credit,credit 6 months
27.10.2023 09:39,600371,0145777145-0001,ISSUED,29494.0,29464.51,29.49,KZT,HALYK,credit,credit 6 months
27.10.2023 09:52,600386,0141489620-0011,ISSUED,15987.0,15971.01,15.99,KZT,FASTCASH,credit,credit 12 months
27.10.2023 10:08,600400,0144169986-0003,ISSUED,53442.0,53388.56,53.44,KZT,FASTCASH,credit,credit 24 months
27.10.2023 10:14,600407,0143091633-0032,ISSUED,120889.0,120768.11,120.89,KZT,EUABFIS,credit,credit 12 months
27.10.2023 10:14,600409,0145795948-0001,ISSUED,11887.0,11875.11,11.89,KZT,EUABFIS,credit,credit 24 months
27.10.2023 10:19,600421,0145781223-0002,ISSUED,13064.0,13050.94,13.06,KZT,HALYK,credit,credit 6 months
27.10.2023 10:28,600435,0138490119-0002,ISSUED,15307.0,15291.69,15.31,KZT,FASTCASH,credit,credit 12 months
27.10.2023 10:39,600450,0133375902-0004,ISSUED,12007.0,11994.99,12.01,KZT,EUABFIS,credit,credit 24 months
27.10.2023 10:53,600479,0145676983-0001,ISSUED,6853.0,6846.15,6.85,KZT,FASTCASH,credit,credit 12 months
27.10.2023 11:14,600522,0145052065-0003,ISSUED,265017.0,264751.98,265.02,KZT,HALYK,credit,credit 36 months
27.10.2023 11:29,600554,0145797358-0002,ISSUED,18832.0,18813.17,18.83,KZT,EUABFIS,credit,credit 12 months
27.10.2023 11:39,600581,0145798490-0001,ISSUED,53895.0,53841.1,53.9,KZT,FASTCASH,credit,credit 12 months
27.10.2023 12:47,600581,0145798490-0001,REFUNDED,-53895.0,-53841.1,-53.9,KZT,FASTCASH,credit,credit 12 months
27.10.2023 11:53,600610,0139897142-0008,ISSUED,56012.0,55955.99,56.01,KZT,FASTCASH,credit,credit 12 months
27.10.2023 12:08,600650,55727563-0007,ISSUED,7016.0,7008.98,7.02,KZT,FASTCASH,credit,credit 12 months
27.10.2023 13:16,600815,0145676983-0003,ISSUED,35953.0,35917.05,35.95,KZT,EUABFIS,credit,credit 24 months
27.10.2023 13:54,600899,0145684826-0003,ISSUED,147240.0,147092.76,147.24,KZT,EUABFIS,credit,credit 24 months
27.10.2023 15:02,601051,70193991-0001,ISSUED,27370.0,27342.63,27.37,KZT,HALYK,credit,credit 6 months
27.10.2023 15:14,601088,0133263850-0005,ISSUED,21390.0,21368.61,21.39,KZT,EUABFIS,credit,credit 12 months
27.10.2023 15:30,601125,0145651623-0002,ISSUED,10169.0,10158.83,10.17,KZT,EUABFIS,credit,credit 24 months
27.10.2023 16:15,601236,0145809138-0003,ISSUED,11294.0,11282.71,11.29,KZT,EUABFIS,credit,credit 24 months
27.10.2023 16:16,601239,84038974-0001,ISSUED,135972.0,135836.03,135.97,KZT,FASTCASH,credit,credit 12 months
