TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
01.11.2023 20:17,589934,0144020461-0008,REFUNDED,-41607.0,-41565.39,-41.61,KZT,HALYK,credit,credit 6 months
01.11.2023 16:02,590653,0144245225-0002,REFUNDED,-65383.0,-65317.62,-65.38,KZT,FASTCASH,credit,credit 12 months
01.11.2023 13:04,594052,0143842222-0003,REFUNDED,-169020.0,-168850.98,-169.02,KZT,HALYK,credit,credit 36 months
01.11.2023 10:37,594904,0141529183-0040,REFUNDED,-18362.0,-18343.64,-18.36,KZT,HALYK,credit,credit 6 months
01.11.2023 15:38,609146,0146146702-0005,REFUNDED,-9450.0,-9440.55,-9.45,KZT,FASTCASH,credit,credit 12 months
31.10.2023 23:59,609254,0137970349-0006,ISSUED,10967.0,10956.03,10.97,KZT,EUABFIS,credit,credit 12 months
01.11.2023 00:02,609259,0136110495-0008,ISSUED,102706.0,102603.29,102.71,KZT,EUABFIS,credit,credit 24 months
01.11.2023 00:04,609264,0128892427-0004,ISSUED,17492.0,17474.51,17.49,KZT,EUABFIS,credit,credit 12 months
01.11.2023 00:52,609329,0146164008-0001,ISSUED,15988.0,15972.01,15.99,KZT,FASTCASH,credit,credit 12 months
01.11.2023 01:35,609329,0146164008-0001,REFUNDED,-15988.0,-15972.01,-15.99,KZT,FASTCASH,credit,credit 12 months
01.11.2023 00:56,609342,0129521287-0133,ISSUED,7379.0,7371.62,7.38,KZT,EUABFIS,credit,credit 24 months
01.11.2023 00:58,609345,0131391096-0002,ISSUED,24173.0,24148.83,24.17,KZT,HALYK,credit,credit 6 months
01.11.2023 00:59,609351,79637120-0012,ISSUED,44671.0,44626.33,44.67,KZT,EUABFIS,credit,credit 36 months
01.11.2023 03:21,609464,0146172132-0004,ISSUED,30324.0,30293.68,30.32,KZT,FASTCASH,credit,credit 12 months
01.11.2023 07:57,609541,0137784484-0001,ISSUED,11833.0,11821.17,11.83,KZT,EUABFIS,credit,credit 12 months
