TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
10.10.2023 23:22,569085,55895909-0005,ISSUED,59525.0,59465.47,59.53,KZT,HALYK,credit,credit 36 months
10.10.2023 22:48,569033,80578001-0102,ISSUED,55514.0,55458.49,55.51,KZT,HALYK,credit,credit 36 months
10.10.2023 22:41,569020,0144313184-0003,ISSUED,5869.0,5863.13,5.87,KZT,FASTCASH,credit,credit 12 months
10.10.2023 22:34,569006,0142376650-0003,ISSUED,29668.0,29638.33,29.67,KZT,HALYK,credit,credit 6 months
10.10.2023 20:37,568848,0132248399-0003,ISSUED,11432.0,11420.57,11.43,KZT,HALYK,credit,credit 6 months
10.10.2023 20:20,568807,0129487378-0013,ISSUED,14260.0,14245.74,14.26,KZT,HALYK,credit,credit 6 months
10.10.2023 19:51,568760,0129487378-0008,ISSUED,39735.0,39695.26,39.74,KZT,HALYK,credit,credit 12 months
10.10.2023 17:32,568517,0138157824-0004,ISSUED,23131.0,23107.87,23.13,KZT,FASTCASH,credit,credit 12 months
10.10.2023 15:52,568244,0143403997-0007,ISSUED,96842.0,96745.16,96.84,KZT,HALYK,credit,credit 6 months
10.10.2023 15:36,568187,0142595040-0002,ISSUED,11197.0,11185.8,11.2,KZT,FASTCASH,credit,credit 12 months
10.10.2023 15:31,568173,0134118127-0007,ISSUED,149644.0,149494.36,149.64,KZT,HALYK,credit,credit 36 months
10.10.2023 15:22,568146,0134787907-0005,ISSUED,5060.0,5054.94,5.06,KZT,FASTCASH,credit,credit 12 months
10.10.2023 15:03,568098,0144381110-0005,ISSUED,19554.0,19534.45,19.55,KZT,FASTCASH,credit,credit 12 months
10.10.2023 14:25,567986,0143135037-0004,ISSUED,40982.0,40941.02,40.98,KZT,FASTCASH,credit,credit 12 months
10.10.2023 14:00,567913,0144403749-0002,ISSUED,111624.0,111512.38,111.62,KZT,FASTCASH,credit,credit 12 months
10.10.2023 13:42,567857,0141867175-0003,ISSUED,9920.0,9910.08,9.92,KZT,FASTCASH,credit,credit 12 months
10.10.2023 11:58,567783,83977477-0005,ISSUED,42866.0,42823.13,42.87,KZT,HALYK,credit,credit 6 months
10.10.2023 11:56,567778,0140034758-0007,ISSUED,154723.0,154568.28,154.72,KZT,FASTCASH,credit,credit 12 months
10.10.2023 10:49,567617,77183609-0001,ISSUED,15380.0,15364.62,15.38,KZT,HALYK,credit,credit 6 months
10.10.2023 10:28,567590,0144261244-0002,ISSUED,55183.0,55127.82,55.18,KZT,EUABFIS,credit,credit 9 months
10.10.2023 10:10,567566,34312465-0004,ISSUED,17012.0,16994.99,17.01,KZT,EUABFIS,credit,credit 3 months
10.10.2023 09:22,567501,0144389271-0001,ISSUED,24497.0,24472.5,24.5,KZT,EUABFIS,credit,credit 3 months
10.10.2023 08:42,567472,0144388444-0001,ISSUED,50183.0,50132.82,50.18,KZT,HALYK,credit,credit 36 months
10.10.2023 08:37,567469,0141209118-0006,ISSUED,88230.0,88141.77,88.23,KZT,EUABFIS,credit,credit 3 months
10.10.2023 07:12,567441,0141729997-0007,ISSUED,30201.0,30170.8,30.2,KZT,HALYK,credit,credit 6 months
10.10.2023 04:06,567425,0137560175-0022,ISSUED,29659.0,29629.34,29.66,KZT,FASTCASH,credit,credit 12 months
10.10.2023 03:28,567418,0137591872-0005,ISSUED,19234.0,19214.77,19.23,KZT,HALYK,credit,credit 6 months
10.10.2023 02:44,567397,0133097949-0050,ISSUED,54154.0,54099.85,54.15,KZT,HALYK,credit,credit 36 months
10.10.2023 01:50,567378,0144280639-0001,ISSUED,8540.0,8531.46,8.54,KZT,EUABFIS,credit,credit 3 months
10.10.2023 01:42,567371,0128752333-0006,ISSUED,43096.0,43052.9,43.1,KZT,HALYK,credit,credit 12 months
10.10.2023 01:18,567356,0144377289-0001,ISSUED,29224.0,29194.78,29.22,KZT,EUABFIS,credit,credit 3 months
10.10.2023 00:51,567345,0144375847-0001,ISSUED,10771.0,10760.23,10.77,KZT,HALYK,credit,credit 6 months
09.10.2023 20:53,567044,0144265762-0002,ISSUED,111788.0,111676.21,111.79,KZT,EUABFIS,credit,credit 12 months
10.10.2023 10:21,566484,81153055-0018,REFUNDED,-50256.0,-50205.74,-50.26,KZT,HALYK,credit,credit 36 months
10.10.2023 09:32,565667,0143470457-0004,REFUNDED,-21661.0,-21639.34,-21.66,KZT,HALYK,credit,credit 6 months
10.10.2023 14:05,564209,0144226068-0001,REFUNDED,-232802.0,-232569.2,-232.8,KZT,HALYK,credit,credit 36 months
10.10.2023 17:02,562703,0129203637-0006,REFUNDED,-105071.0,-104965.93,-105.07,KZT,HALYK,credit,credit 36 months
10.10.2023 17:59,545804,0134118127-0004,REFUNDED,-125614.0,-125488.39,-125.61,KZT,HALYK,credit,credit 36 months
10.10.2023 08:12,539258,0142890642-0004,REFUNDED,-127624.0,-127496.38,-127.62,KZT,HALYK,credit,credit 36 months
10.10.2023 08:12,538547,0142890642-0003,REFUNDED,-261816.0,-261554.18,-261.82,KZT,HALYK,credit,credit 36 months
10.10.2023 08:13,538444,0142890642-0001,REFUNDED,-176899.0,-176722.1,-176.9,KZT,HALYK,credit,credit 36 months
