TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
29.09.2023 23:11,549293,0138105551-0002,ISSUED,11286,11274.71,11.29,KZT,HALYK,credit,credit 6 months
29.09.2023 23:40,549333,0143458869-0003,ISSUED,70965,70894.03,70.97,KZT,HALYK,credit,credit 36 months
29.09.2023 23:34,549317,81209201-0003,ISSUED,37952,37914.05,37.95,KZT,HALYK,credit,credit 6 months
29.09.2023 23:28,549311,0132981080-0003,ISSUED,15013,14997.99,15.01,KZT,FASTCASH,credit,credit 12 months
29.09.2023 23:28,549309,0143458869-0002,ISSUED,150888,150737.11,150.89,KZT,HALYK,credit,credit 36 months
29.09.2023 22:54,549276,0143453760-0002,ISSUED,23053,23029.95,23.05,KZT,FASTCASH,credit,credit 24 months
29.09.2023 22:41,549256,0143444368-0001,ISSUED,13862,13848.14,13.86,KZT,FASTCASH,credit,credit 12 months
29.09.2023 21:28,549181,0141012643-0036,ISSUED,28345,28316.65,28.35,KZT,HALYK,credit,credit 6 months
29.09.2023 21:07,549162,0141012643-0035,ISSUED,16991,16974.01,16.99,KZT,HALYK,credit,credit 6 months
29.09.2023 20:36,549125,0142424786-0006,ISSUED,164652,164487.35,164.65,KZT,HALYK,credit,credit 36 months
29.09.2023 20:02,549090,0143442596-0001,ISSUED,27987,27959.01,27.99,KZT,HALYK,credit,credit 6 months
29.09.2023 19:38,549062,0139835294-0004,ISSUED,44442,44397.56,44.44,KZT,EUABFIS,credit,credit 3 months
29.09.2023 19:20,549040,0143438905-0001,ISSUED,21912,21890.09,21.91,KZT,FASTCASH,credit,credit 12 months
29.09.2023 19:11,549028,0142649448-0002,ISSUED,11850,11838.15,11.85,KZT,EUABFIS,credit,credit 9 months
29.09.2023 19:26,549000,0143418466-0004,REFUNDED,-72882,-72809.12,-72.88,KZT,HALYK,credit,credit 36 months
29.09.2023 18:57,549000,0143418466-0004,ISSUED,72882,72809.12,72.88,KZT,HALYK,credit,credit 36 months
29.09.2023 18:52,548992,0125087388-0015,ISSUED,23296,23272.7,23.3,KZT,FASTCASH,credit,credit 12 months
29.09.2023 18:52,548991,89480765-0025,ISSUED,35412,35376.59,35.41,KZT,HALYK,credit,credit 6 months
29.09.2023 18:41,548968,0128839214-0012,ISSUED,9519,9509.48,9.52,KZT,EUABFIS,credit,credit 3 months
29.09.2023 18:22,548941,0143432187-0001,ISSUED,77791,77713.21,77.79,KZT,HALYK,credit,credit 12 months
29.09.2023 18:02,548901,0143335709-0003,ISSUED,28781,28752.22,28.78,KZT,HALYK,credit,credit 12 months
29.09.2023 17:12,548789,0143269159-0003,ISSUED,128049,127920.95,128.05,KZT,HALYK,credit,credit 36 months
29.09.2023 16:34,548688,0143422713-0001,ISSUED,31919,31887.08,31.92,KZT,EUABFIS,credit,credit 6 months
29.09.2023 16:18,548653,0103075134-0003,ISSUED,52934,52881.07,52.93,KZT,EUABFIS,credit,credit 12 months
29.09.2023 15:56,548605,0142194379-0004,ISSUED,35833,35797.17,35.83,KZT,EUABFIS,credit,credit 6 months
29.09.2023 15:45,548583,71641820-0003,ISSUED,127026,126898.97,127.03,KZT,FASTCASH,credit,credit 12 months
29.09.2023 15:15,548507,62753686-0004,ISSUED,20794,20773.21,20.79,KZT,EUABFIS,credit,credit 6 months
29.09.2023 14:22,548372,0143295297-0003,ISSUED,91286,91194.71,91.29,KZT,EUABFIS,credit,credit 3 months
29.09.2023 14:10,548360,0139780466-0001,ISSUED,25870,25844.13,25.87,KZT,EUABFIS,credit,credit 3 months
