TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
02.11.2023 10:11,583243,90308753-0014,REFUNDED,-16233.0,-16216.77,-16.23,KZT,EUABFIS,credit,credit 12 months
02.11.2023 10:10,587495,0144127993-0008,REFUNDED,-38348.0,-38309.65,-38.35,KZT,EUABFIS,credit,credit 24 months
02.11.2023 10:09,588809,0145275929-0001,REFUNDED,-9819.0,-9809.18,-9.82,KZT,EUABFIS,credit,credit 12 months
02.11.2023 15:38,591934,0145397056-0003,REFUNDED,-280251.0,-279970.75,-280.25,KZT,FASTCASH,credit,credit 12 months
02.11.2023 10:11,592330,0135413815-0003,REFUNDED,-10871.0,-10860.13,-10.87,KZT,EUABFIS,credit,credit 12 months
02.11.2023 18:42,594711,0128694257-0018,REFUNDED,-15426.0,-15410.57,-15.43,KZT,EUABFIS,credit,credit 24 months
02.11.2023 19:16,595173,0145352581-0003,REFUNDED,-44944.0,-44899.06,-44.94,KZT,EUABFIS,credit,credit 12 months
02.11.2023 10:07,597459,0141242069-0003,REFUNDED,-68996.0,-68927.0,-69.0,KZT,EUABFIS,credit,credit 24 months
02.11.2023 10:06,599697,0145753868-0001,REFUNDED,-49734.0,-49684.27,-49.73,KZT,EUABFIS,credit,credit 24 months
02.11.2023 10:05,603368,0145904777-0001,REFUNDED,-137662.0,-137524.34,-137.66,KZT,HALYK,credit,credit 36 months
02.11.2023 1:44,611294,55319812-0001,REFUNDED,-220380.0,-220159.62,-220.38,KZT,HALYK,credit,credit 36 months
02.11.2023 0:13,611621,0130085074-0007,ISSUED,189658.0,189468.34,189.66,KZT,HALYK,credit,credit 36 months
02.11.2023 0:13,611622,56849700-0003,ISSUED,18221.0,18202.78,18.22,KZT,FASTCASH,credit,credit 12 months
02.11.2023 0:14,611624,0144187618-0004,ISSUED,37170.0,37132.83,37.17,KZT,EUABFIS,credit,credit 24 months
02.11.2023 0:24,611646,0133947004-0025,ISSUED,56693.0,56636.31,56.69,KZT,EUABFIS,credit,credit 24 months
02.11.2023 0:25,611647,0141175941-0005,ISSUED,153310.0,153156.69,153.31,KZT,EUABFIS,credit,credit 12 months
02.11.2023 0:40,611675,0133947004-0026,ISSUED,129425.0,129295.57,129.43,KZT,EUABFIS,credit,credit 24 months
02.11.2023 0:46,611685,0130085074-0008,ISSUED,56646.0,56589.35,56.65,KZT,HALYK,credit,credit 36 months
02.11.2023 1:05,611707,0145778251-0001,ISSUED,114912.0,114797.09,114.91,KZT,EUABFIS,credit,credit 24 months
02.11.2023 1:46,611745,0129082851-0008,ISSUED,52658.0,52605.34,52.66,KZT,FASTCASH,credit,credit 12 months
02.11.2023 2:01,611757,0135629579-0029,ISSUED,758395.0,757636.6,758.4,KZT,HALYK,credit,credit 36 months
02.11.2023 20:36,611757,0135629579-0029,REFUNDED,-758395.0,-757636.6,-758.4,KZT,HALYK,credit,credit 36 months
02.11.2023 2:03,611761,0140043112-0012,ISSUED,29427.0,29397.57,29.43,KZT,HALYK,credit,credit 12 months
02.11.2023 5:00,611828,0146094282-0002,ISSUED,19885.0,19865.11,19.89,KZT,FASTCASH,credit,credit 12 months
02.11.2023 7:52,611862,0146268395-0002,ISSUED,232272.0,232039.73,232.27,KZT,FASTCASH,credit,credit 12 months
02.11.2023 8:27,611876,0146235606-0003,ISSUED,11253.0,11241.75,11.25,KZT,FASTCASH,credit,credit 12 months
02.11.2023 9:41,611928,0146231919-0002,ISSUED,27337.0,27309.66,27.34,KZT,EUABFIS,credit,credit 12 months
02.11.2023 9:50,611941,0146273788-0001,ISSUED,23046.0,23022.95,23.05,KZT,EUABFIS,credit,credit 24 months
02.11.2023 10:08,611969,0143356087-0010,ISSUED,107288.0,107180.71,107.29,KZT,EUABFIS,credit,credit 12 months
02.11.2023 10:27,611991,0132173692-0006,ISSUED,84544.0,84459.46,84.54,KZT,FASTCASH,credit,credit 12 months
02.11.2023 10:44,612048,0146212137-0007,ISSUED,35383.0,35347.62,35.38,KZT,EUABFIS,credit,credit 12 months
02.11.2023 10:57,612067,0142028765-0015,ISSUED,78391.0,78312.61,78.39,KZT,HALYK,credit,credit 12 months
02.11.2023 11:43,612067,0142028765-0015,REFUNDED,-78391.0,-78312.61,-78.39,KZT,HALYK,credit,credit 12 months
02.11.2023 11:13,612107,0146277302-0001,ISSUED,58271.0,58212.73,58.27,KZT,FASTCASH,credit,credit 12 months
02.11.2023 11:19,612120,81289182-0006,ISSUED,190290.0,190099.71,190.29,KZT,EUABFIS,credit,credit 24 months
02.11.2023 11:22,612125,0130389822-0002,ISSUED,82670.0,82587.33,82.67,KZT,HALYK,credit,credit 36 months
02.11.2023 11:23,612132,0146161947-0004,ISSUED,52748.0,52695.25,52.75,KZT,FASTCASH,credit,credit 12 months
02.11.2023 11:32,612155,0137947937-0008,ISSUED,20782.0,20761.22,20.78,KZT,EUABFIS,credit,credit 12 months
02.11.2023 12:32,612285,0146281530-0002,ISSUED,17589.0,17571.41,17.59,KZT,EUABFIS,credit,credit 24 months
02.11.2023 12:44,612317,0146202979-0011,ISSUED,34598.0,34563.4,34.6,KZT,FASTCASH,credit,credit 12 months
02.11.2023 13:25,612428,0146244423-0003,ISSUED,72148.0,72075.85,72.15,KZT,EUABFIS,credit,credit 12 months
02.11.2023 13:38,612455,0145340436-0009,ISSUED,11327.0,11315.67,11.33,KZT,EUABFIS,credit,credit 12 months
02.11.2023 13:39,612457,0134189088-0004,ISSUED,10795.0,10784.2,10.8,KZT,FASTCASH,credit,credit 12 months
02.11.2023 13:40,612461,69240814-0007,ISSUED,16393.0,16376.61,16.39,KZT,EUABFIS,credit,credit 12 months
02.11.2023 13:58,612508,0142028765-0020,ISSUED,78391.0,78312.61,78.39,KZT,HALYK,credit,credit 12 months
02.11.2023 14:16,612561,0139475872-0012,ISSUED,27149.0,27121.85,27.15,KZT,HALYK,credit,credit 12 months
02.11.2023 14:38,612614,0146186815-0005,ISSUED,73305.0,73231.69,73.31,KZT,FASTCASH,credit,credit 12 months
