TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
28.02.2024 12:14,850778,0154004933-0007,REFUNDED,-13673.00,-13659.33,-13.67,KZT,FASTCASH,credit,credit 12 months
28.02.2024 17:04,854621,59390719-0004,REFUNDED,-92997.00,-92904.00,-93.00,KZT,HALYK,credit,credit 36 months
28.02.2024 18:19,857955,0156935834-0002,REFUNDED,-23662.00,-23638.34,-23.66,KZT,HOME,credit,credit 3 months
28.02.2024 22:06,858154,49715170-0003,REFUNDED,-20435.00,-20414.56,-20.44,KZT,FASTCASH,credit,credit 12 months
28.02.2024 19:20,861032,0156282835-0002,REFUNDED,-13679.00,-13665.32,-13.68,KZT,EUABFIS,credit,credit 6 months
28.02.2024 16:15,864635,0150132382-0008,REFUNDED,-25141.00,-25115.86,-25.14,KZT,HOME,credit,credit 3 months
28.02.2024 20:38,869158,0151146623-0006,REFUNDED,-10930.00,-10919.07,-10.93,KZT,EUABFIS,credit,credit 3 months
28.02.2024 11:51,876503,79331655-0007,REFUNDED,-30186.00,-30155.81,-30.19,KZT,HALYK,credit,credit 36 months
28.02.2024 11:13,877359,0142580878-0021,REFUNDED,-61782.00,-61720.22,-61.78,KZT,HOME,credit,credit 12 months
27.02.2024 23:54,877375,0141893649-0001,ISSUED,33357.00,33323.64,33.36,KZT,HOME,credit,credit 3 months
27.02.2024 23:55,877377,74403731-0003,ISSUED,64017.00,63952.98,64.02,KZT,HALYK,credit,credit 36 months
28.02.2024 00:07,877390,0103613945-0020,ISSUED,26376.00,26349.62,26.38,KZT,HOME,credit,credit 3 months
28.02.2024 00:13,877399,26033195-0048,ISSUED,46882.00,46835.12,46.88,KZT,HOME,credit,credit 3 months
28.02.2024 00:14,877400,0156959959-0018,ISSUED,61149.00,61087.85,61.15,KZT,HOME,credit,credit 12 months
28.02.2024 00:15,877403,0146602132-0003,ISSUED,48322.00,48273.68,48.32,KZT,HOME,credit,credit 6 months
28.02.2024 00:18,877404,0155967980-0001,ISSUED,313440.00,313126.56,313.44,KZT,HALYK,credit,credit 36 months
28.02.2024 00:27,877417,0153890116-0014,ISSUED,120443.00,120322.56,120.44,KZT,HOME,credit,credit 18 months
28.02.2024 00:43,877433,0146602132-0004,ISSUED,73440.00,73366.56,73.44,KZT,HOME,credit,credit 6 months
28.02.2024 00:57,877449,0151816927-0013,ISSUED,28722.00,28693.28,28.72,KZT,HOME,credit,credit 3 months
28.02.2024 01:01,877454,0157623192-0003,ISSUED,35425.00,35389.57,35.43,KZT,HOME,credit,credit 6 months
28.02.2024 01:02,877455,0157638601-0002,ISSUED,84564.00,84479.44,84.56,KZT,HOME,credit,credit 24 months
28.02.2024 01:05,877461,0152592699-0002,ISSUED,19881.00,19861.12,19.88,KZT,HOME,credit,credit 3 months
28.02.2024 01:13,877472,0143479942-0016,ISSUED,12874.00,12861.13,12.87,KZT,EUABFIS,credit,credit 6 months
28.02.2024 01:38,877498,0139145064-0007,ISSUED,78365.00,78286.63,78.37,KZT,HOME,credit,credit 12 months
28.02.2024 11:12,877498,0139145064-0007,REFUNDED,-78365.00,-78286.63,-78.37,KZT,HOME,credit,credit 12 months
28.02.2024 02:02,877514,34946553-0121,ISSUED,57067.00,57009.93,57.07,KZT,HALYK,credit,credit 36 months
28.02.2024 02:07,877516,0153436886-0007,ISSUED,24815.00,24790.18,24.82,KZT,HOME,credit,credit 3 months
28.02.2024 02:12,877519,0139275574-0008,ISSUED,66611.00,66544.39,66.61,KZT,HOME,credit,credit 24 months
28.02.2024 02:27,877529,0157642324-0004,ISSUED,16890.00,16873.11,16.89,KZT,HOME,credit,credit 3 months
28.02.2024 02:32,877532,92974584-0016,ISSUED,20753.00,20732.25,20.75,KZT,HOME,credit,credit 6 months
28.02.2024 03:44,877563,0157646955-0001,ISSUED,96331.00,96234.67,96.33,KZT,HALYK,credit,credit 36 months
28.02.2024 05:25,877585,0157648239-0001,ISSUED,18342.00,18323.66,18.34,KZT,HOME,credit,credit 3 months
28.02.2024 05:54,877585,0157648239-0001,REFUNDED,-18342.00,-18323.66,-18.34,KZT,HOME,credit,credit 3 months
28.02.2024 06:00,877589,0157648239-0002,ISSUED,20869.00,20848.13,20.87,KZT,HOME,credit,credit 6 months
28.02.2024 07:42,877609,0149470307-0004,ISSUED,87394.00,87306.61,87.39,KZT,HOME,credit,credit 12 months
28.02.2024 08:34,877627,0151068090-0001,ISSUED,51759.00,51707.24,51.76,KZT,HALYK,credit,credit 36 months
28.02.2024 08:51,877639,0141729997-0034,ISSUED,19586.00,19566.41,19.59,KZT,HALYK,credit,credit 6 months
28.02.2024 08:53,877640,0145678511-0060,ISSUED,42126.00,42083.87,42.13,KZT,HALYK,credit,credit 6 months
28.02.2024 09:02,877648,0151264743-0006,ISSUED,30100.00,30069.90,30.10,KZT,HALYK,credit,credit 12 months
28.02.2024 09:13,877655,86758334-0005,ISSUED,27945.00,27917.05,27.95,KZT,HOME,credit,credit 3 months
28.02.2024 09:19,877662,0144403068-0003,ISSUED,10963.00,10952.04,10.96,KZT,EUABFIS,credit,credit 3 months
28.02.2024 09:24,877663,0152599739-0018,ISSUED,83098.00,83014.90,83.10,KZT,EUABFIS,credit,credit 6 months
28.02.2024 09:25,877665,0141729997-0035,ISSUED,22366.00,22343.63,22.37,KZT,EUABFIS,credit,credit 6 months
28.02.2024 09:27,877666,0145547899-0016,ISSUED,24461.00,24436.54,24.46,KZT,HALYK,credit,credit 6 months
28.02.2024 09:31,877671,0155715425-0005,ISSUED,10532.00,10521.47,10.53,KZT,HALYK,credit,credit 6 months
28.02.2024 09:32,877672,0138033614-0032,ISSUED,228220.00,227991.78,228.22,KZT,HALYK,credit,credit 36 months
28.02.2024 09:36,877675,0142880491-0084,ISSUED,30225.00,30194.77,30.23,KZT,EUABFIS,credit,credit 6 months
28.02.2024 09:39,877678,0145547899-0017,ISSUED,36860.00,36823.14,36.86,KZT,HALYK,credit,credit 6 months
28.02.2024 09:52,877688,0157642783-0003,ISSUED,13605.00,13591.39,13.61,KZT,HOME,credit,credit 3 months
28.02.2024 10:00,877697,0135508483-0029,ISSUED,8715.00,8706.28,8.72,KZT,EUABFIS,credit,credit 3 months
28.02.2024 10:06,877708,0156821106-0007,ISSUED,15446.00,15430.55,15.45,KZT,HOME,credit,credit 6 months
28.02.2024 10:07,877710,0145973321-0025,ISSUED,57069.00,57011.93,57.07,KZT,HALYK,credit,credit 36 months
28.02.2024 10:24,877730,0142558270-0041,ISSUED,87698.00,87610.30,87.70,KZT,HOME,credit,credit 6 months
28.02.2024 10:25,877731,0156633361-0015,ISSUED,80164.00,80083.84,80.16,KZT,HALYK,credit,credit 24 months
28.02.2024 10:45,877758,0144477750-0010,ISSUED,10170.00,10159.83,10.17,KZT,EUABFIS,credit,credit 3 months
28.02.2024 10:58,877758,0144477750-0010,REFUNDED,-10170.00,-10159.83,-10.17,KZT,EUABFIS,credit,credit 3 months
28.02.2024 10:57,877779,0156042898-0003,ISSUED,26726.00,26699.27,26.73,KZT,HOME,credit,credit 6 months
28.02.2024 11:01,877791,0157112850-0002,ISSUED,25338.00,25312.66,25.34,KZT,HALYK,credit,credit 6 months
28.02.2024 11:01,877792,0142212828-0011,ISSUED,49607.00,49557.39,49.61,KZT,HOME,credit,credit 3 months
28.02.2024 11:17,877832,0141375522-0110,ISSUED,11922.00,11910.08,11.92,KZT,EUABFIS,credit,credit 3 months
28.02.2024 11:20,877842,0151936284-0011,ISSUED,35403.00,35367.60,35.40,KZT,HOME,credit,credit 24 months
28.02.2024 11:22,877846,60554390-0017,ISSUED,26082.00,26055.92,26.08,KZT,HALYK,credit,credit 12 months
28.02.2024 11:25,877852,0141398131-0004,ISSUED,11506.00,11494.49,11.51,KZT,EUABFIS,credit,credit 3 months
28.02.2024 11:25,877854,0157307928-0002,ISSUED,240008.00,239767.99,240.01,KZT,HALYK,credit,credit 36 months
28.02.2024 11:27,877862,60554390-0018,ISSUED,24034.00,24009.97,24.03,KZT,HALYK,credit,credit 12 months
28.02.2024 11:27,877863,0156945684-0001,ISSUED,42500.00,42457.50,42.50,KZT,HOME,credit,credit 3 months
28.02.2024 11:28,877864,0157435390-0006,ISSUED,294016.00,293721.98,294.02,KZT,HOME,credit,credit 36 months
28.02.2024 11:29,877868,0129142221-0006,ISSUED,24766.00,24741.23,24.77,KZT,FASTCASH,credit,credit 12 months
28.02.2024 11:39,877889,0150842749-0011,ISSUED,33682.00,33648.32,33.68,KZT,HOME,credit,credit 6 months
28.02.2024 11:42,877897,0156192438-0004,ISSUED,28688.00,28659.31,28.69,KZT,HOME,credit,credit 12 months
28.02.2024 11:44,877902,0150707999-0003,ISSUED,26910.00,26883.09,26.91,KZT,HOME,credit,credit 12 months
28.02.2024 11:51,877918,0157661251-0001,ISSUED,28301.00,28272.70,28.30,KZT,HOME,credit,credit 6 months
28.02.2024 11:55,877929,0138425726-0004,ISSUED,11711.00,11699.29,11.71,KZT,EUABFIS,credit,credit 3 months
28.02.2024 11:58,877936,0157661525-0001,ISSUED,57290.00,57232.71,57.29,KZT,HALYK,credit,credit 36 months
28.02.2024 12:05,877946,0133101246-0006,ISSUED,16587.00,16570.41,16.59,KZT,HOME,credit,credit 6 months
28.02.2024 12:24,877991,0154014839-0006,ISSUED,11866.00,11854.13,11.87,KZT,HOME,credit,credit 3 months
28.02.2024 12:31,878010,0147981116-0027,ISSUED,111734.00,111622.27,111.73,KZT,HALYK,credit,credit 60 months
28.02.2024 12:37,878027,0145943768-0017,ISSUED,64973.00,64908.03,64.97,KZT,HOME,credit,credit 6 months
28.02.2024 12:40,878037,0150930633-0002,ISSUED,87875.00,87787.12,87.88,KZT,HALYK,credit,credit 36 months
28.02.2024 12:44,878048,0146608210-0034,ISSUED,69774.00,69704.23,69.77,KZT,HALYK,credit,credit 6 months
28.02.2024 12:45,878053,0148913584-0017,ISSUED,77693.00,77615.31,77.69,KZT,HOME,credit,credit 6 months
28.02.2024 12:47,878055,0147252515-0017,ISSUED,135838.00,135702.16,135.84,KZT,EUABFIS,credit,credit 24 months
28.02.2024 12:55,878078,55594673-0006,ISSUED,22692.00,22669.31,22.69,KZT,HOME,credit,credit 6 months
28.02.2024 13:02,878099,0150242161-0007,ISSUED,59407.00,59347.59,59.41,KZT,EUABFIS,credit,credit 3 months
28.02.2024 13:03,878102,0157662159-0002,ISSUED,10723.00,10712.28,10.72,KZT,FASTCASH,credit,credit 12 months
28.02.2024 13:03,878104,0151536987-0002,ISSUED,15169.00,15153.83,15.17,KZT,EUABFIS,credit,credit 3 months
28.02.2024 13:04,878107,0149686672-0006,ISSUED,34171.00,34136.83,34.17,KZT,FASTCASH,credit,credit 12 months
28.02.2024 14:58,878107,0149686672-0006,REFUNDED,-34171.00,-34136.83,-34.17,KZT,FASTCASH,credit,credit 12 months
28.02.2024 13:17,878152,62840263-0301,ISSUED,195540.00,195344.46,195.54,KZT,HOME,credit,credit 3 months
28.02.2024 13:19,878160,71350333-0014,ISSUED,45620.00,45574.38,45.62,KZT,EUABFIS,credit,credit 24 months
28.02.2024 13:31,878187,0138033614-0034,ISSUED,102691.00,102588.31,102.69,KZT,HALYK,credit,credit 36 months
28.02.2024 18:14,878201,0144775776-0009,REFUNDED,-13771.00,-13757.23,-13.77,KZT,HOME,credit,credit 3 months
28.02.2024 13:36,878201,0144775776-0009,ISSUED,13771.00,13757.23,13.77,KZT,HOME,credit,credit 3 months
28.02.2024 13:39,878207,0154442833-0003,ISSUED,342154.00,341811.85,342.15,KZT,EUABFIS,credit,credit 3 months
28.02.2024 13:59,878257,73397013-0007,ISSUED,24492.00,24467.51,24.49,KZT,EUABFIS,credit,credit 24 months
28.02.2024 14:04,878264,0150684871-0022,ISSUED,11711.00,11699.29,11.71,KZT,HALYK,credit,credit 6 months
28.02.2024 14:14,878283,0156516187-0009,ISSUED,160835.00,160674.16,160.84,KZT,HALYK,credit,credit 36 months
28.02.2024 14:20,878302,0157436004-0001,ISSUED,33873.00,33839.13,33.87,KZT,HOME,credit,credit 12 months
28.02.2024 14:24,878311,0157420064-0002,ISSUED,15304.00,15288.70,15.30,KZT,HOME,credit,credit 3 months
28.02.2024 14:26,878317,0125605402-0005,ISSUED,12850.00,12837.15,12.85,KZT,HOME,credit,credit 3 months
28.02.2024 15:06,878416,0151158928-0010,ISSUED,13194.00,13180.81,13.19,KZT,EUABFIS,credit,credit 3 months
28.02.2024 15:19,878456,73646086-0002,ISSUED,80104.00,80023.90,80.10,KZT,HOME,credit,credit 3 months
28.02.2024 15:25,878469,0149548003-0006,ISSUED,11921.00,11909.08,11.92,KZT,HOME,credit,credit 6 months
28.02.2024 15:37,878499,0154157240-0004,ISSUED,12891.00,12878.11,12.89,KZT,HOME,credit,credit 3 months
28.02.2024 15:54,878553,0155639477-0002,ISSUED,15999.00,15983.00,16.00,KZT,HALYK,credit,credit 6 months
28.02.2024 15:54,878554,0144775776-0010,ISSUED,13771.00,13757.23,13.77,KZT,HOME,credit,credit 3 months
28.02.2024 15:57,878562,0157382934-0009,ISSUED,88222.00,88133.78,88.22,KZT,HALYK,credit,credit 36 months
28.02.2024 16:18,878611,0148008526-0004,ISSUED,11156.00,11144.84,11.16,KZT,HALYK,credit,credit 12 months
28.02.2024 16:32,878649,0156868084-0003,ISSUED,41654.00,41612.35,41.65,KZT,FASTCASH,credit,credit 24 months
28.02.2024 16:34,878653,0148952110-0004,ISSUED,25020.00,24994.98,25.02,KZT,EUABFIS,credit,credit 6 months
28.02.2024 16:37,878667,0137679016-0008,ISSUED,19192.00,19172.81,19.19,KZT,HOME,credit,credit 6 months
28.02.2024 16:57,878716,0147364365-0016,ISSUED,50689.00,50638.31,50.69,KZT,HALYK,credit,credit 36 months
28.02.2024 17:27,878744,0140143430-0022,ISSUED,117712.00,117594.29,117.71,KZT,EUABFIS,credit,credit 6 months
28.02.2024 17:29,878757,0138150577-0018,ISSUED,46695.00,46648.30,46.70,KZT,HALYK,credit,credit 36 months
28.02.2024 17:31,878765,0111318813-0037,ISSUED,102883.00,102780.12,102.88,KZT,HOME,credit,credit 6 months
28.02.2024 17:31,878766,0157569825-0008,ISSUED,120564.00,120443.44,120.56,KZT,HALYK,credit,credit 36 months
28.02.2024 17:32,878770,0157658133-0003,ISSUED,54076.00,54021.92,54.08,KZT,HOME,credit,credit 18 months
28.02.2024 17:34,878778,87067387-0018,ISSUED,16566.00,16549.43,16.57,KZT,HOME,credit,credit 6 months
28.02.2024 17:39,878797,79970620-0129,ISSUED,19723.00,19703.28,19.72,KZT,EUABFIS,credit,credit 6 months
28.02.2024 17:44,878817,33069617-0017,ISSUED,14729.00,14714.27,14.73,KZT,HOME,credit,credit 6 months
