TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
15.10.2023 20:41,565508,0138054441-0002,REFUNDED,-12007.0,-11994.99,-12.01,KZT,HALYK,credit,credit 6 months
14.10.2023 23:52,576769,36808164-0003,ISSUED,68768.0,68699.23,68.77,KZT,HALYK,credit,credit 36 months
15.10.2023 00:11,576784,0123959739-0009,ISSUED,56699.0,56642.3,56.7,KZT,EUABFIS,credit,credit 3 months
15.10.2023 01:02,576829,0143453306-0019,ISSUED,22062.0,22039.94,22.06,KZT,EUABFIS,credit,credit 3 months
15.10.2023 02:39,576904,0139165172-0011,ISSUED,27277.0,27249.72,27.28,KZT,FASTCASH,credit,credit 12 months
15.10.2023 06:31,576970,0143639808-0002,ISSUED,11943.0,11931.06,11.94,KZT,FASTCASH,credit,credit 12 months
15.10.2023 08:36,576999,0137145242-0006,ISSUED,50596.0,50545.4,50.6,KZT,HALYK,credit,credit 36 months
15.10.2023 08:41,577002,82674511-0018,ISSUED,64381.0,64316.62,64.38,KZT,HALYK,credit,credit 12 months
15.10.2023 08:57,577010,0129654991-0009,ISSUED,37894.0,37856.11,37.89,KZT,EUABFIS,credit,credit 3 months
15.10.2023 09:08,577020,0136026384-0002,ISSUED,115866.0,115750.13,115.87,KZT,EUABFIS,credit,credit 12 months
15.10.2023 09:32,577039,42793036-0002,ISSUED,36989.0,36952.01,36.99,KZT,EUABFIS,credit,credit 3 months
15.10.2023 09:55,577053,60328210-0016,ISSUED,8928.0,8919.07,8.93,KZT,FASTCASH,credit,credit 12 months
15.10.2023 11:22,577174,77723136-0008,ISSUED,28483.0,28454.52,28.48,KZT,HALYK,credit,credit 6 months
15.10.2023 12:47,577352,89549763-0002,ISSUED,174558.0,174383.44,174.56,KZT,HALYK,credit,credit 36 months
15.10.2023 14:12,577540,0144246344-0018,ISSUED,144743.0,144598.26,144.74,KZT,HALYK,credit,credit 12 months
15.10.2023 14:23,577566,0139849972-0001,ISSUED,18493.0,18474.51,18.49,KZT,HALYK,credit,credit 6 months
15.10.2023 15:00,577656,81234358-0015,ISSUED,7148.0,7140.85,7.15,KZT,EUABFIS,credit,credit 3 months
15.10.2023 15:03,577664,0144796714-0004,ISSUED,11968.0,11956.03,11.97,KZT,EUABFIS,credit,credit 3 months
15.10.2023 15:22,577713,0119666095-0006,ISSUED,61479.0,61417.52,61.48,KZT,HALYK,credit,credit 6 months
15.10.2023 15:25,577720,0140849460-0002,ISSUED,24924.0,24899.08,24.92,KZT,EUABFIS,credit,credit 3 months
15.10.2023 15:59,577813,0144834477-0003,ISSUED,48397.0,48348.6,48.4,KZT,EUABFIS,credit,credit 6 months
15.10.2023 16:22,577867,0142872223-0002,ISSUED,19407.0,19387.59,19.41,KZT,EUABFIS,credit,credit 6 months
