TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
22.10.2023 01:01,590950,0126488658-0006,REFUNDED,-22837.0,-22814.16,-22.84,KZT,FASTCASH,credit,credit 12 months
22.10.2023 00:16,591041,0145326508-0002,ISSUED,160040.0,159879.96,160.04,KZT,HALYK,credit,credit 36 months
22.10.2023 00:58,591070,0141510605-0002,REFUNDED,-17598.0,-17580.4,-17.6,KZT,FASTCASH,credit,credit 12 months
22.10.2023 00:46,591070,0141510605-0002,ISSUED,17598.0,17580.4,17.6,KZT,FASTCASH,credit,credit 12 months
22.10.2023 01:18,591090,0145132319-0005,ISSUED,68680.0,68611.32,68.68,KZT,EUABFIS,credit,credit 12 months
22.10.2023 01:57,591111,0129683881-0001,ISSUED,89476.0,89386.52,89.48,KZT,FASTCASH,credit,credit 12 months
22.10.2023 03:35,591141,0145378515-0001,ISSUED,15698.0,15682.3,15.7,KZT,FASTCASH,credit,credit 12 months
22.10.2023 08:51,591196,0144725168-0004,ISSUED,38391.0,38352.61,38.39,KZT,EUABFIS,credit,credit 24 months
22.10.2023 09:49,591235,0145292896-0004,ISSUED,83253.0,83169.75,83.25,KZT,EUABFIS,credit,credit 12 months
22.10.2023 09:52,591236,0126488658-0008,ISSUED,22845.0,22822.15,22.85,KZT,FASTCASH,credit,credit 12 months
22.10.2023 10:44,591236,0126488658-0008,REFUNDED,-22845.0,-22822.15,-22.85,KZT,FASTCASH,credit,credit 12 months
22.10.2023 11:10,591336,0119496041-0002,ISSUED,20001.0,19981.0,20.0,KZT,EUABFIS,credit,credit 12 months
22.10.2023 11:21,591353,56430967-0006,ISSUED,12422.0,12409.58,12.42,KZT,HALYK,credit,credit 6 months
22.10.2023 11:27,591364,0138498933-0002,ISSUED,11778.0,11766.22,11.78,KZT,HALYK,credit,credit 6 months
22.10.2023 11:56,591425,61793597-0004,ISSUED,16630.0,16613.37,16.63,KZT,FASTCASH,credit,credit 12 months
22.10.2023 12:04,591439,0128481693-0011,ISSUED,15378.0,15362.62,15.38,KZT,FASTCASH,credit,credit 12 months
22.10.2023 12:04,591440,0129487378-0031,ISSUED,17976.0,17958.02,17.98,KZT,HALYK,credit,credit 6 months
22.10.2023 12:17,591454,52505754-0002,ISSUED,7400.0,7392.6,7.4,KZT,EUABFIS,credit,credit 12 months
