TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
18.09.2023 17:48,530119,0142397253-0008,ISSUED,257109,256851.89,257.11,KZT,FASTCASH,credit,credit 12 months
18.09.2023 23:29,530574,0142294576-0005,ISSUED,48312,48263.69,48.31,KZT,EUABFIS,credit,credit 6 months
18.09.2023 23:14,530558,0142460838-0002,ISSUED,48505,48456.49,48.51,KZT,EUABFIS,credit,credit 6 months
18.09.2023 22:46,530545,0142114018-0005,ISSUED,126318,126191.68,126.32,KZT,EUABFIS,credit,credit 3 months
18.09.2023 22:05,530502,0142449119-0002,ISSUED,7302,7294.7,7.3,KZT,EUABFIS,credit,credit 3 months
18.09.2023 23:02,530552,29407252-0040,ISSUED,20054,20033.95,20.05,KZT,EUABFIS,credit,credit 3 months
18.09.2023 23:22,530550,0135685647-0003,REFUNDED,-132601,-132468.4,-132.6,KZT,HALYK,credit,credit 36 months
18.09.2023 22:58,530550,0135685647-0003,ISSUED,132601,132468.4,132.6,KZT,HALYK,credit,credit 36 months
18.09.2023 22:14,530516,0142283467-0003,ISSUED,13093,13079.91,13.09,KZT,EUABFIS,credit,credit 6 months
18.09.2023 22:12,530512,0135859338-0002,ISSUED,40640,40599.36,40.64,KZT,FASTCASH,credit,credit 12 months
18.09.2023 21:16,530421,0141150017-0013,ISSUED,52765,52712.23,52.77,KZT,HALYK,credit,credit 36 months
18.09.2023 21:10,530412,83616718-0003,ISSUED,14355,14340.64,14.36,KZT,EUABFIS,credit,credit 3 months
18.09.2023 20:48,530377,0129461652-0013,ISSUED,18148,18129.85,18.15,KZT,EUABFIS,credit,credit 6 months
18.09.2023 20:25,530361,0140814364-0003,ISSUED,350810,350459.19,350.81,KZT,EUABFIS,credit,credit 36 months
18.09.2023 20:13,530349,0142447509-0001,ISSUED,43203,43159.8,43.2,KZT,EUABFIS,credit,credit 3 months
18.09.2023 19:28,530283,64739691-0005,ISSUED,35352,35316.65,35.35,KZT,EUABFIS,credit,credit 3 months
18.09.2023 19:25,530277,99119798-0017,ISSUED,25786,25760.21,25.79,KZT,FASTCASH,credit,credit 12 months
18.09.2023 18:34,530208,0141514337-0004,ISSUED,21126,21104.87,21.13,KZT,FASTCASH,credit,credit 12 months
18.09.2023 18:14,530170,0141941553-0004,ISSUED,24893,24868.11,24.89,KZT,HALYK,credit,credit 6 months
18.09.2023 18:08,530160,0142334252-0005,ISSUED,13520,13506.48,13.52,KZT,FASTCASH,credit,credit 12 months
18.09.2023 17:29,530078,40248677-0006,ISSUED,8820,8811.18,8.82,KZT,EUABFIS,credit,credit 3 months
18.09.2023 16:28,529933,0142418243-0002,ISSUED,7231,7223.77,7.23,KZT,EUABFIS,credit,credit 3 months
18.09.2023 16:25,529922,0109797410-0015,ISSUED,42410,42367.59,42.41,KZT,EUABFIS,credit,credit 3 months
18.09.2023 16:13,529895,0142426447-0001,ISSUED,50838,50787.16,50.84,KZT,HALYK,credit,credit 36 months
18.09.2023 16:10,529878,0139311494-0018,ISSUED,21390,21368.61,21.39,KZT,FASTCASH,credit,credit 12 months
18.09.2023 16:09,529873,87580952-0013,ISSUED,76294,76217.71,76.29,KZT,HALYK,credit,credit 36 months
18.09.2023 15:37,529799,91509301-0010,ISSUED,48812,48763.19,48.81,KZT,HALYK,credit,credit 6 months
18.09.2023 15:04,529735,0139879751-0009,ISSUED,43496,43452.5,43.5,KZT,EUABFIS,credit,credit 3 months
18.09.2023 14:41,529693,0142418243-0001,ISSUED,7231,7223.77,7.23,KZT,EUABFIS,credit,credit 3 months
18.09.2023 14:26,529645,0127174841-0003,ISSUED,10551,10540.45,10.55,KZT,EUABFIS,credit,credit 3 months
18.09.2023 13:50,529576,35393068-0077,ISSUED,8795,8786.2,8.8,KZT,FASTCASH,credit,credit 12 months
18.09.2023 13:06,529505,0141538157-0002,ISSUED,30904,30873.1,30.9,KZT,EUABFIS,credit,credit 3 months
18.09.2023 12:43,529448,81537622-0019,ISSUED,63666,63602.33,63.67,KZT,HALYK,credit,credit 36 months
18.09.2023 12:24,529407,0109529141-0001,ISSUED,7578,7570.42,7.58,KZT,EUABFIS,credit,credit 3 months
18.09.2023 11:52,529348,04239197-0032,ISSUED,16958,16941.04,16.96,KZT,HALYK,credit,credit 6 months
18.09.2023 11:47,529333,0142254224-0001,ISSUED,17862,17844.14,17.86,KZT,FASTCASH,credit,credit 12 months
18.09.2023 11:45,529330,0141687370-0016,ISSUED,48720,48671.28,48.72,KZT,EUABFIS,credit,credit 24 months
18.09.2023 11:32,529300,87580952-0011,ISSUED,75149,75073.85,75.15,KZT,HALYK,credit,credit 36 months
18.09.2023 11:24,529287,0141670306-0018,ISSUED,59477,59417.52,59.48,KZT,HALYK,credit,credit 36 months
18.09.2023 11:22,529283,0141687370-0015,ISSUED,91054,90962.95,91.05,KZT,EUABFIS,credit,credit 24 months
18.09.2023 11:12,529263,0136775541-0026,ISSUED,24948,24923.05,24.95,KZT,EUABFIS,credit,credit 6 months
18.09.2023 10:58,529237,0140814364-0002,ISSUED,15279,15263.72,15.28,KZT,EUABFIS,credit,credit 3 months
18.09.2023 10:30,529199,0138925958-0010,ISSUED,16686,16669.31,16.69,KZT,HALYK,credit,credit 6 months
18.09.2023 10:27,529193,0141527147-0005,ISSUED,30345,30314.65,30.35,KZT,FASTCASH,credit,credit 12 months
18.09.2023 10:10,529180,82795715-0003,ISSUED,13206,13192.79,13.21,KZT,HALYK,credit,credit 6 months
18.09.2023 10:08,529178,70941796-0004,ISSUED,9976,9966.02,9.98,KZT,FASTCASH,credit,credit 12 months
18.09.2023 10:03,529168,0142399896-0001,ISSUED,51030,50978.97,51.03,KZT,FASTCASH,credit,credit 12 months
18.09.2023 9:25,529145,75482818-0001,ISSUED,87857,87769.14,87.86,KZT,EUABFIS,credit,credit 6 months
18.09.2023 9:11,529129,0142153174-0004,ISSUED,5939,5933.06,5.94,KZT,FASTCASH,credit,credit 12 months
18.09.2023 8:13,529107,0140474956-0002,ISSUED,36428,36391.57,36.43,KZT,EUABFIS,credit,credit 3 months
18.09.2023 8:08,529105,0135685647-0002,ISSUED,129622,129492.38,129.62,KZT,HALYK,credit,credit 36 months
18.09.2023 1:24,529010,0142385511-0001,ISSUED,144677,144532.32,144.68,KZT,EUABFIS,credit,credit 6 months
18.09.2023 0:10,528952,57538378-0005,ISSUED,22125,22102.87,22.13,KZT,EUABFIS,credit,credit 9 months
18.09.2023 0:06,528948,0102559350-0001,ISSUED,37846,37808.15,37.85,KZT,HALYK,credit,credit 6 months
18.09.2023 17:30,517142,0141508766-0009,REFUNDED,-32967,-32934.03,-32.97,KZT,EUABFIS,credit,credit 3 months
