TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
29.10.2023 13:09,583417,35848916-0004,REFUNDED,-43680.0,-43636.32,-43.68,KZT,FASTCASH,credit,credit 24 months
29.10.2023 16:51,588760,0145270843-0003,REFUNDED,-20729.0,-20708.27,-20.73,KZT,FASTCASH,credit,credit 12 months
29.10.2023 06:37,591111,0129683881-0001,REFUNDED,-89476.0,-89386.52,-89.48,KZT,FASTCASH,credit,credit 12 months
29.10.2023 19:30,591353,56430967-0006,REFUNDED,-12422.0,-12409.58,-12.42,KZT,HALYK,credit,credit 6 months
29.10.2023 14:09,603533,0141007644-0003,REFUNDED,-11799.0,-11787.2,-11.8,KZT,EUABFIS,credit,credit 24 months
29.10.2023 00:42,603780,70696913-0001,ISSUED,52615.0,52562.38,52.62,KZT,HALYK,credit,credit 36 months
29.10.2023 00:47,603787,47681777-0005,ISSUED,54246.0,54191.75,54.25,KZT,FASTCASH,credit,credit 12 months
29.10.2023 00:52,603793,0138171000-0003,ISSUED,13756.0,13742.24,13.76,KZT,FASTCASH,credit,credit 12 months
29.10.2023 01:04,603802,0143139556-0059,ISSUED,95459.0,95363.54,95.46,KZT,FASTCASH,credit,credit 24 months
29.10.2023 01:37,603831,0145703458-0003,ISSUED,81840.0,81758.16,81.84,KZT,HALYK,credit,credit 36 months
29.10.2023 01:46,603838,33774036-0001,ISSUED,27835.0,27807.16,27.84,KZT,EUABFIS,credit,credit 12 months
29.10.2023 02:48,603866,0142071284-0003,ISSUED,6802.0,6795.2,6.8,KZT,FASTCASH,credit,credit 12 months
29.10.2023 02:48,603867,0139547258-0004,ISSUED,15978.0,15962.02,15.98,KZT,FASTCASH,credit,credit 12 months
29.10.2023 07:33,603925,0129030737-0003,ISSUED,47655.0,47607.34,47.66,KZT,EUABFIS,credit,credit 12 months
29.10.2023 08:48,603942,0143640749-0042,ISSUED,14209.0,14194.79,14.21,KZT,HALYK,credit,credit 6 months
29.10.2023 09:47,603976,0128942003-0005,ISSUED,155492.0,155336.51,155.49,KZT,HALYK,credit,credit 36 months
29.10.2023 10:08,604000,91904370-0002,ISSUED,130482.0,130351.52,130.48,KZT,HALYK,credit,credit 36 months
29.10.2023 10:24,604013,0141979539-0006,ISSUED,83568.0,83484.43,83.57,KZT,FASTCASH,credit,credit 12 months
29.10.2023 11:23,604093,92863054-0006,ISSUED,11168.0,11156.83,11.17,KZT,EUABFIS,credit,credit 12 months
29.10.2023 11:32,604106,0144420370-0002,ISSUED,57582.0,57524.42,57.58,KZT,FASTCASH,credit,credit 12 months
29.10.2023 11:54,604127,0141748604-0005,ISSUED,16718.0,16701.28,16.72,KZT,EUABFIS,credit,credit 12 months
29.10.2023 12:05,604144,0141690859-0003,ISSUED,53095.0,53041.9,53.1,KZT,EUABFIS,credit,credit 12 months
29.10.2023 12:09,604149,55081561-0022,ISSUED,12980.0,12967.02,12.98,KZT,EUABFIS,credit,credit 24 months
29.10.2023 12:10,604150,0145890127-0001,ISSUED,20515.0,20494.48,20.52,KZT,EUABFIS,credit,credit 12 months
29.10.2023 12:17,604160,0140765377-0004,ISSUED,13268.0,13254.73,13.27,KZT,EUABFIS,credit,credit 24 months
29.10.2023 12:23,604171,0145933740-0003,ISSUED,6900.0,6893.1,6.9,KZT,FASTCASH,credit,credit 12 months
29.10.2023 12:31,604181,0145654280-0002,ISSUED,122724.0,122601.28,122.72,KZT,HALYK,credit,credit 36 months
29.10.2023 12:39,604188,0142952327-0020,ISSUED,17716.0,17698.28,17.72,KZT,HALYK,credit,credit 6 months
29.10.2023 12:50,604215,0145595810-0004,ISSUED,115604.0,115488.4,115.6,KZT,EUABFIS,credit,credit 24 months
29.10.2023 12:53,604222,0145912054-0002,ISSUED,20048.0,20027.95,20.05,KZT,FASTCASH,credit,credit 12 months
29.10.2023 13:01,604243,0145941953-0001,ISSUED,29485.0,29455.51,29.49,KZT,EUABFIS,credit,credit 12 months
29.10.2023 13:01,604244,0145940731-0001,ISSUED,48684.0,48635.32,48.68,KZT,EUABFIS,credit,credit 12 months
29.10.2023 13:12,604259,0145942034-0001,ISSUED,51525.0,51473.47,51.53,KZT,HALYK,credit,credit 36 months
29.10.2023 13:31,604291,0144905277-0002,ISSUED,123659.0,123535.34,123.66,KZT,EUABFIS,credit,credit 12 months
29.10.2023 13:46,604312,0141487753-0005,ISSUED,32710.0,32677.29,32.71,KZT,EUABFIS,credit,credit 12 months
29.10.2023 13:48,604315,55081561-0024,ISSUED,8245.0,8236.75,8.25,KZT,EUABFIS,credit,credit 24 months
29.10.2023 14:00,604335,0142139447-0027,ISSUED,59860.0,59800.14,59.86,KZT,HALYK,credit,credit 36 months
29.10.2023 14:07,604348,0145943606-0001,ISSUED,27156.0,27128.84,27.16,KZT,EUABFIS,credit,credit 12 months
29.10.2023 14:20,604379,94364180-0006,ISSUED,6865.0,6858.13,6.87,KZT,FASTCASH,credit,credit 12 months
29.10.2023 14:23,604384,0140612750-0003,ISSUED,20392.0,20371.61,20.39,KZT,HALYK,credit,credit 6 months
29.10.2023 14:41,604412,0145904887-0003,ISSUED,29607.0,29577.39,29.61,KZT,EUABFIS,credit,credit 12 months
29.10.2023 14:42,604417,0145947152-0002,ISSUED,158481.0,158322.52,158.48,KZT,EUABFIS,credit,credit 24 months
29.10.2023 15:44,604546,0143860046-0002,ISSUED,15517.0,15501.48,15.52,KZT,FASTCASH,credit,credit 12 months
29.10.2023 15:48,604553,0144571331-0010,ISSUED,10484.0,10473.52,10.48,KZT,HALYK,credit,credit 6 months
29.10.2023 15:54,604567,82976814-0025,ISSUED,9555.0,9545.44,9.56,KZT,FASTCASH,credit,credit 12 months
29.10.2023 16:07,604585,0145945393-0002,ISSUED,20449.0,20428.55,20.45,KZT,FASTCASH,credit,credit 12 months
29.10.2023 16:09,604588,0145953802-0002,ISSUED,13445.0,13431.55,13.45,KZT,HALYK,credit,credit 6 months
29.10.2023 16:42,604646,0145595810-0005,ISSUED,11407.0,11395.59,11.41,KZT,EUABFIS,credit,credit 24 months
29.10.2023 16:46,604655,0139475872-0005,ISSUED,31275.0,31243.72,31.28,KZT,HALYK,credit,credit 12 months
29.10.2023 16:51,604662,0145954841-0002,ISSUED,18553.0,18534.45,18.55,KZT,FASTCASH,credit,credit 12 months
29.10.2023 16:53,604666,0145890127-0003,ISSUED,33677.0,33643.32,33.68,KZT,EUABFIS,credit,credit 24 months
29.10.2023 16:53,604668,0145957792-0001,ISSUED,8114.0,8105.89,8.11,KZT,FASTCASH,credit,credit 12 months
29.10.2023 17:46,604748,0145904777-0007,ISSUED,149839.0,149689.16,149.84,KZT,HALYK,credit,credit 36 months
29.10.2023 18:02,604767,0145763916-0001,ISSUED,31494.0,31462.51,31.49,KZT,FASTCASH,credit,credit 12 months
29.10.2023 18:10,604781,0141487753-0009,ISSUED,11942.0,11930.06,11.94,KZT,EUABFIS,credit,credit 12 months
29.10.2023 18:10,604782,95443891-0003,ISSUED,133042.0,132908.96,133.04,KZT,FASTCASH,credit,credit 24 months
29.10.2023 18:28,604811,0145964406-0001,ISSUED,19130.0,19110.87,19.13,KZT,HALYK,credit,credit 6 months
29.10.2023 18:32,604819,0145964414-0001,ISSUED,12750.0,12737.25,12.75,KZT,EUABFIS,credit,credit 12 months
29.10.2023 18:45,604841,0145943606-0004,ISSUED,51383.0,51331.62,51.38,KZT,EUABFIS,credit,credit 36 months
29.10.2023 18:49,604848,0138999222-0008,ISSUED,47444.0,47396.56,47.44,KZT,HALYK,credit,credit 6 months
29.10.2023 18:49,604849,0134298543-0015,ISSUED,21083.0,21061.92,21.08,KZT,HALYK,credit,credit 6 months
29.10.2023 19:14,604884,0141807389-0014,ISSUED,63708.0,63644.29,63.71,KZT,HALYK,credit,credit 6 months
29.10.2023 19:15,604885,0145964406-0003,ISSUED,13483.0,13469.52,13.48,KZT,HALYK,credit,credit 6 months
29.10.2023 19:23,604890,0145964406-0004,ISSUED,12575.0,12562.42,12.58,KZT,HALYK,credit,credit 6 months
29.10.2023 19:24,604893,0144734975-0003,ISSUED,60002.0,59942.0,60.0,KZT,EUABFIS,credit,credit 24 months
29.10.2023 19:34,604905,32888596-0051,ISSUED,258677.0,258418.32,258.68,KZT,EUABFIS,credit,credit 24 months
29.10.2023 19:37,604911,56430967-0007,ISSUED,12697.0,12684.3,12.7,KZT,HALYK,credit,credit 6 months
29.10.2023 20:02,604949,0141415625-0002,ISSUED,45797.0,45751.2,45.8,KZT,FASTCASH,credit,credit 12 months
29.10.2023 20:16,604966,0145971607-0001,ISSUED,7052.0,7044.95,7.05,KZT,FASTCASH,credit,credit 12 months
29.10.2023 20:23,604974,0101516158-0020,ISSUED,14019.0,14004.98,14.02,KZT,HALYK,credit,credit 6 months
