TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
21.10.2023 16:37,567044,0144265762-0002,REFUNDED,-111788.0,-111676.21,-111.79,KZT,EUABFIS,credit,credit 12 months
21.10.2023 20:15,567292,0141729997-0006,REFUNDED,-38013.0,-37974.99,-38.01,KZT,HALYK,credit,credit 12 months
21.10.2023 14:20,574069,55721819-0002,REFUNDED,-26534.0,-26507.47,-26.53,KZT,EUABFIS,credit,credit 12 months
21.10.2023 12:52,576829,0143453306-0019,REFUNDED,-22062.0,-22039.94,-22.06,KZT,EUABFIS,credit,credit 3 months
21.10.2023 11:31,581251,92799995-0024,REFUNDED,-87761.0,-87673.24,-87.76,KZT,HALYK,credit,credit 36 months
21.10.2023 18:19,585806,0138414857-0002,REFUNDED,-15067.0,-15051.93,-15.07,KZT,FASTCASH,credit,credit 12 months
21.10.2023 01:46,589345,0145306578-0001,ISSUED,14725.0,14710.27,14.73,KZT,EUABFIS,credit,credit 24 months
21.10.2023 01:48,589347,77723136-0009,ISSUED,17995.0,17977.0,18.0,KZT,HALYK,credit,credit 6 months
21.10.2023 02:08,589366,0137130773-0002,ISSUED,44343.0,44298.66,44.34,KZT,FASTCASH,credit,credit 12 months
21.10.2023 08:38,589446,0136665885-0007,ISSUED,36077.0,36040.92,36.08,KZT,FASTCASH,credit,credit 12 months
21.10.2023 09:02,589454,0145293741-0003,ISSUED,6727.0,6720.27,6.73,KZT,FASTCASH,credit,credit 12 months
21.10.2023 09:02,589456,0144127993-0011,ISSUED,40914.0,40873.09,40.91,KZT,EUABFIS,credit,credit 24 months
21.10.2023 10:38,589540,0145306578-0002,ISSUED,50474.0,50423.53,50.47,KZT,EUABFIS,credit,credit 12 months
21.10.2023 11:07,589585,0145302640-0003,ISSUED,41149.0,41107.85,41.15,KZT,EUABFIS,credit,credit 24 months
21.10.2023 11:19,589604,30711644-0019,ISSUED,13951.0,13937.05,13.95,KZT,HALYK,credit,credit 6 months
21.10.2023 11:55,589663,0142456203-0001,ISSUED,31803.0,31771.2,31.8,KZT,EUABFIS,credit,credit 12 months
21.10.2023 11:58,589672,0145323169-0001,ISSUED,26486.0,26459.51,26.49,KZT,EUABFIS,credit,credit 12 months
21.10.2023 12:09,589689,0133075214-0007,ISSUED,249721.0,249471.28,249.72,KZT,EUABFIS,credit,credit 12 months
21.10.2023 12:34,589732,0122185252-0013,ISSUED,18411.0,18392.59,18.41,KZT,FASTCASH,credit,credit 12 months
21.10.2023 12:53,589770,0144020461-0007,ISSUED,82877.0,82794.12,82.88,KZT,HALYK,credit,credit 12 months
21.10.2023 13:01,589786,0144789751-0006,ISSUED,15233.0,15217.77,15.23,KZT,FASTCASH,credit,credit 12 months
21.10.2023 13:23,589831,0141035193-0007,ISSUED,10143.0,10132.86,10.14,KZT,FASTCASH,credit,credit 12 months
21.10.2023 13:38,589861,0145328924-0001,ISSUED,52203.0,52150.8,52.2,KZT,HALYK,credit,credit 6 months
21.10.2023 13:41,589873,0142524515-0006,ISSUED,156681.0,156524.32,156.68,KZT,EUABFIS,credit,credit 24 months
21.10.2023 13:50,589886,0141824916-0017,ISSUED,103771.0,103667.23,103.77,KZT,HALYK,credit,credit 36 months
21.10.2023 14:07,589919,0140346010-0002,ISSUED,10985.0,10974.01,10.99,KZT,EUABFIS,credit,credit 12 months
21.10.2023 14:15,589934,0144020461-0008,ISSUED,41607.0,41565.39,41.61,KZT,HALYK,credit,credit 6 months
21.10.2023 14:16,589937,0132087197-0002,ISSUED,19197.0,19177.8,19.2,KZT,FASTCASH,credit,credit 12 months
21.10.2023 14:19,589946,0143852634-0014,ISSUED,12701.0,12688.3,12.7,KZT,EUABFIS,credit,credit 24 months
21.10.2023 15:03,590053,74247973-0003,ISSUED,13733.0,13719.27,13.73,KZT,FASTCASH,credit,credit 12 months
21.10.2023 15:22,590094,0144020461-0009,ISSUED,25750.0,25724.25,25.75,KZT,HALYK,credit,credit 12 months
21.10.2023 15:29,590113,0136775541-0061,ISSUED,89378.0,89288.62,89.38,KZT,EUABFIS,credit,credit 24 months
21.10.2023 15:42,590149,65298638-0003,ISSUED,48559.0,48510.44,48.56,KZT,HALYK,credit,credit 6 months
21.10.2023 16:04,590210,0145337748-0001,ISSUED,17479.0,17461.52,17.48,KZT,FASTCASH,credit,credit 12 months
21.10.2023 16:14,590230,0143849130-0003,ISSUED,17030.0,17012.97,17.03,KZT,FASTCASH,credit,credit 24 months
21.10.2023 16:24,590249,0141489370-0022,ISSUED,11422.0,11410.58,11.42,KZT,EUABFIS,credit,credit 12 months
21.10.2023 17:34,590265,0145339835-0001,REFUNDED,-49460.0,-49410.54,-49.46,KZT,EUABFIS,credit,credit 24 months
21.10.2023 16:30,590265,0145339835-0001,ISSUED,49460.0,49410.54,49.46,KZT,EUABFIS,credit,credit 24 months
21.10.2023 16:33,590277,0134878704-0005,ISSUED,33886.0,33852.11,33.89,KZT,FASTCASH,credit,credit 12 months
21.10.2023 16:35,590287,0144989429-0001,ISSUED,15546.0,15530.45,15.55,KZT,EUABFIS,credit,credit 12 months
21.10.2023 16:59,590346,92035482-0004,ISSUED,92915.0,92822.08,92.92,KZT,HALYK,credit,credit 36 months
21.10.2023 17:16,590389,0143075577-0003,ISSUED,114328.0,114213.67,114.33,KZT,FASTCASH,credit,credit 12 months
21.10.2023 17:41,590446,0143951630-0002,ISSUED,35481.0,35445.52,35.48,KZT,HALYK,credit,credit 6 months
21.10.2023 18:20,590515,0138166009-0005,ISSUED,24982.0,24957.02,24.98,KZT,EUABFIS,credit,credit 12 months
21.10.2023 19:42,590640,0145351674-0002,ISSUED,17782.0,17764.22,17.78,KZT,EUABFIS,credit,credit 12 months
21.10.2023 19:50,590653,0144245225-0002,ISSUED,65383.0,65317.62,65.38,KZT,FASTCASH,credit,credit 12 months
21.10.2023 19:54,590660,0131511289-0003,ISSUED,11383.0,11371.62,11.38,KZT,EUABFIS,credit,credit 12 months
21.10.2023 19:57,590666,0145351674-0003,ISSUED,8040.0,8031.96,8.04,KZT,EUABFIS,credit,credit 12 months
21.10.2023 20:17,590693,0145206563-0003,ISSUED,86081.0,85994.92,86.08,KZT,FASTCASH,credit,credit 12 months
21.10.2023 20:18,590697,0145132319-0002,ISSUED,49344.0,49294.66,49.34,KZT,EUABFIS,credit,credit 24 months
21.10.2023 20:28,590715,0142095718-0002,ISSUED,12871.0,12858.13,12.87,KZT,FASTCASH,credit,credit 12 months
21.10.2023 20:34,590725,0143503841-0002,ISSUED,39493.0,39453.51,39.49,KZT,FASTCASH,credit,credit 12 months
21.10.2023 20:50,590755,0138163657-0007,ISSUED,52660.0,52607.34,52.66,KZT,HALYK,credit,credit 36 months
21.10.2023 21:08,590780,85361207-0042,ISSUED,81359.0,81277.64,81.36,KZT,FASTCASH,credit,credit 12 months
21.10.2023 21:31,590806,0145132319-0003,ISSUED,47084.0,47036.92,47.08,KZT,EUABFIS,credit,credit 24 months
21.10.2023 21:35,590812,0144863272-0026,ISSUED,31274.0,31242.73,31.27,KZT,HALYK,credit,credit 12 months
21.10.2023 21:41,590821,0145360524-0001,ISSUED,12652.0,12639.35,12.65,KZT,HALYK,credit,credit 6 months
21.10.2023 21:52,590835,0145360999-0001,ISSUED,10662.0,10651.34,10.66,KZT,EUABFIS,credit,credit 12 months
21.10.2023 21:56,590838,0144863272-0028,ISSUED,25428.0,25402.57,25.43,KZT,HALYK,credit,credit 12 months
21.10.2023 22:41,590902,0145361648-0002,ISSUED,82005.0,81922.99,82.01,KZT,FASTCASH,credit,credit 12 months
21.10.2023 23:17,590950,0126488658-0006,ISSUED,22837.0,22814.16,22.84,KZT,FASTCASH,credit,credit 12 months
21.10.2023 23:35,590973,0142430607-0003,ISSUED,11187.0,11175.81,11.19,KZT,FASTCASH,credit,credit 12 months
