TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
03.11.2023 20:41,607299,82830105-0059,REFUNDED,-278402.0,-278123.6,-278.4,KZT,HALYK,credit,credit 36 months
03.11.2023 20:41,607377,82830105-0060,REFUNDED,-178966.0,-178787.03,-178.97,KZT,HALYK,credit,credit 36 months
03.11.2023 09:01,611592,0146250474-0001,REFUNDED,-264904.0,-264639.1,-264.9,KZT,HALYK,credit,credit 36 months
03.11.2023 00:13,613694,0146341454-0001,ISSUED,20981.0,20960.02,20.98,KZT,HALYK,credit,credit 6 months
03.11.2023 00:16,613698,0146338342-0002,ISSUED,16640.0,16623.36,16.64,KZT,HALYK,credit,credit 6 months
03.11.2023 00:22,613720,0146338715-0003,ISSUED,28397.0,28368.6,28.4,KZT,FASTCASH,credit,credit 12 months
03.11.2023 00:23,613725,60429619-0013,ISSUED,13500.0,13486.5,13.5,KZT,FASTCASH,credit,credit 12 months
03.11.2023 00:24,613728,0142662409-0012,ISSUED,63948.0,63884.05,63.95,KZT,HALYK,credit,credit 36 months
03.11.2023 00:30,613748,0146245706-0004,ISSUED,14565.0,14550.43,14.57,KZT,FASTCASH,credit,credit 12 months
03.11.2023 00:31,613753,0128226470-0003,ISSUED,13680.0,13666.32,13.68,KZT,EUABFIS,credit,credit 12 months
03.11.2023 00:39,613769,0145796169-0002,ISSUED,87805.0,87717.19,87.81,KZT,HALYK,credit,credit 36 months
03.11.2023 00:50,613792,0142234583-0003,ISSUED,77316.0,77238.68,77.32,KZT,HALYK,credit,credit 36 months
03.11.2023 08:37,613832,0146344761-0002,REFUNDED,-7515.0,-7507.48,-7.52,KZT,EUABFIS,credit,credit 12 months
03.11.2023 01:03,613832,0146344761-0002,ISSUED,7515.0,7507.48,7.52,KZT,EUABFIS,credit,credit 12 months
03.11.2023 01:29,613866,0131720312-0002,ISSUED,54446.0,54391.55,54.45,KZT,FASTCASH,credit,credit 12 months
03.11.2023 01:42,613885,0143469531-0003,ISSUED,56772.0,56715.23,56.77,KZT,EUABFIS,credit,credit 24 months
03.11.2023 02:35,613956,0135629579-0032,ISSUED,744683.0,743938.32,744.68,KZT,HALYK,credit,credit 36 months
03.11.2023 10:13,613956,0135629579-0032,REFUNDED,-744683.0,-743938.32,-744.68,KZT,HALYK,credit,credit 36 months
03.11.2023 02:43,613964,0132765534-0005,ISSUED,51973.0,51921.03,51.97,KZT,HALYK,credit,credit 36 months
03.11.2023 03:07,613987,84819213-0011,ISSUED,14389.0,14374.61,14.39,KZT,HALYK,credit,credit 6 months
03.11.2023 03:41,614001,0141854214-0016,ISSUED,18723.0,18704.28,18.72,KZT,HALYK,credit,credit 6 months
03.11.2023 07:51,614056,0135191014-0002,ISSUED,47363.0,47315.64,47.36,KZT,EUABFIS,credit,credit 24 months
03.11.2023 08:09,614070,0132250325-0001,ISSUED,20554.0,20533.45,20.55,KZT,FASTCASH,credit,credit 12 months
03.11.2023 08:31,614082,0146359637-0002,ISSUED,86610.0,86523.39,86.61,KZT,HALYK,credit,credit 36 months
03.11.2023 08:33,614083,0142775982-0001,ISSUED,12349.0,12336.65,12.35,KZT,FASTCASH,credit,credit 12 months
03.11.2023 08:33,614084,98956106-0027,ISSUED,8969.0,8960.03,8.97,KZT,EUABFIS,credit,credit 12 months
