TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
28.09.2023 23:54,547614,0141973073-0002,ISSUED,39534,39494.47,39.53,KZT,EUABFIS,credit,credit 6 months
28.09.2023 23:25,547583,37649567-0009,ISSUED,31633,31601.37,31.63,KZT,FASTCASH,credit,credit 12 months
28.09.2023 22:45,547538,0135678010-0007,ISSUED,69220,69150.78,69.22,KZT,FASTCASH,credit,credit 24 months
28.09.2023 22:18,547502,0143287949-0003,ISSUED,62820,62757.18,62.82,KZT,EUABFIS,credit,credit 3 months
28.09.2023 22:06,547491,46550653-0011,ISSUED,471594,471122.41,471.59,KZT,HALYK,credit,credit 36 months
28.09.2023 21:22,547436,0141096180-0017,ISSUED,7360,7352.64,7.36,KZT,EUABFIS,credit,credit 3 months
28.09.2023 20:49,547391,0138850908-0006,ISSUED,29965,29935.03,29.97,KZT,FASTCASH,credit,credit 12 months
28.09.2023 20:41,547381,0141012643-0026,ISSUED,43217,43173.78,43.22,KZT,HALYK,credit,credit 6 months
28.09.2023 20:39,547380,0143344983-0001,ISSUED,112110,111997.89,112.11,KZT,FASTCASH,credit,credit 12 months
28.09.2023 20:37,547377,0141129969-0010,ISSUED,68967,68898.03,68.97,KZT,EUABFIS,credit,credit 3 months
28.09.2023 20:29,547360,0142066497-0010,ISSUED,11189,11177.81,11.19,KZT,HALYK,credit,credit 6 months
28.09.2023 20:04,547320,0140475081-0002,ISSUED,74592,74517.41,74.59,KZT,HALYK,credit,credit 36 months
28.09.2023 19:17,547233,0143257434-0007,ISSUED,20431,20410.57,20.43,KZT,EUABFIS,credit,credit 3 months
28.09.2023 19:03,547200,0143328899-0002,ISSUED,29539,29509.46,29.54,KZT,EUABFIS,credit,credit 3 months
28.09.2023 18:17,547112,89963976-0003,ISSUED,79547,79467.45,79.55,KZT,HALYK,credit,credit 24 months
28.09.2023 17:59,547076,0128497834-0005,ISSUED,18300,18281.7,18.3,KZT,EUABFIS,credit,credit 3 months
28.09.2023 17:58,547075,0141925922-0005,ISSUED,212250,212037.75,212.25,KZT,EUABFIS,credit,credit 36 months
28.09.2023 17:40,547038,0135508483-0014,ISSUED,26642,26615.36,26.64,KZT,EUABFIS,credit,credit 3 months
28.09.2023 17:35,547031,89963976-0002,ISSUED,79547,79467.45,79.55,KZT,HALYK,credit,credit 24 months
28.09.2023 16:53,546951,0139589238-0007,ISSUED,18761,18742.24,18.76,KZT,EUABFIS,credit,credit 3 months
28.09.2023 16:17,546853,0142929492-0013,ISSUED,68263,68194.74,68.26,KZT,EUABFIS,credit,credit 9 months
28.09.2023 18:36,546776,89963976-0001,REFUNDED,-74553,-74478.45,-74.55,KZT,EUABFIS,credit,credit 24 months
28.09.2023 15:53,546776,89963976-0001,ISSUED,74553,74478.45,74.55,KZT,EUABFIS,credit,credit 24 months
28.09.2023 15:18,546675,0133366936-0004,ISSUED,9418,9408.58,9.42,KZT,EUABFIS,credit,credit 3 months
28.09.2023 15:09,546661,0136879896-0010,ISSUED,22057,22034.94,22.06,KZT,FASTCASH,credit,credit 12 months
28.09.2023 14:39,546581,0142492587-0008,ISSUED,43898,43854.1,43.9,KZT,FASTCASH,credit,credit 12 months
28.09.2023 14:36,546572,0132362972-0005,ISSUED,43524,43480.48,43.52,KZT,HALYK,credit,credit 6 months
28.09.2023 14:35,546569,0135979432-0004,ISSUED,11190,11178.81,11.19,KZT,FASTCASH,credit,credit 12 months
28.09.2023 14:28,546549,0135222591-0045,ISSUED,168364,168195.64,168.36,KZT,HALYK,credit,credit 36 months
28.09.2023 14:27,546545,96643978-0003,ISSUED,103845,103741.15,103.85,KZT,EUABFIS,credit,credit 12 months
28.09.2023 14:27,546543,0140662814-0006,ISSUED,230125,229894.87,230.13,KZT,EUABFIS,credit,credit 3 months
28.09.2023 14:23,546533,0143256069-0005,ISSUED,18127,18108.87,18.13,KZT,EUABFIS,credit,credit 6 months
28.09.2023 14:21,546523,0142687476-0002,ISSUED,37954,37916.05,37.95,KZT,EUABFIS,credit,credit 3 months
28.09.2023 14:11,546495,0143179696-0004,ISSUED,22413,22390.59,22.41,KZT,EUABFIS,credit,credit 6 months
28.09.2023 14:02,546475,0143256069-0004,ISSUED,40994,40953.01,40.99,KZT,EUABFIS,credit,credit 6 months
28.09.2023 14:01,546472,0142712316-0002,ISSUED,69750,69680.25,69.75,KZT,HALYK,credit,credit 36 months
28.09.2023 13:34,546419,0143281412-0001,ISSUED,12703,12690.3,12.7,KZT,FASTCASH,credit,credit 12 months
28.09.2023 13:10,546359,41259854-0007,ISSUED,11702,11690.3,11.7,KZT,EUABFIS,credit,credit 3 months
28.09.2023 12:58,546337,0137560175-0016,ISSUED,20818,20797.18,20.82,KZT,EUABFIS,credit,credit 3 months
28.09.2023 12:42,546304,0111107317-0005,ISSUED,37640,37602.36,37.64,KZT,EUABFIS,credit,credit 3 months
28.09.2023 12:40,546300,89534062-0009,ISSUED,172753,172580.25,172.75,KZT,HALYK,credit,credit 36 months
28.09.2023 12:36,546296,0128547678-0002,ISSUED,11563,11551.44,11.56,KZT,HALYK,credit,credit 6 months
28.09.2023 12:35,546294,0143208872-0002,ISSUED,45313,45267.69,45.31,KZT,EUABFIS,credit,credit 3 months
28.09.2023 12:17,546257,0142952327-0007,ISSUED,23831,23807.17,23.83,KZT,HALYK,credit,credit 6 months
28.09.2023 12:11,546243,0129734008-0006,ISSUED,35896,35860.1,35.9,KZT,FASTCASH,credit,credit 12 months
28.09.2023 11:36,546163,0142838723-0008,ISSUED,19007,18987.99,19.01,KZT,FASTCASH,credit,credit 12 months
28.09.2023 11:23,546134,0141729126-0011,ISSUED,12339,12326.66,12.34,KZT,HALYK,credit,credit 6 months
28.09.2023 10:58,546070,0134832424-0006,ISSUED,153369,153215.63,153.37,KZT,HALYK,credit,credit 36 months
28.09.2023 10:37,546037,64380963-0025,ISSUED,113609,113495.39,113.61,KZT,EUABFIS,credit,credit 6 months
28.09.2023 10:34,546034,0143279782-0001,ISSUED,62933,62870.07,62.93,KZT,HALYK,credit,credit 36 months
28.09.2023 10:30,546023,85404199-0005,ISSUED,11618,11606.38,11.62,KZT,FASTCASH,credit,credit 12 months
28.09.2023 10:06,545989,45005900-0002,ISSUED,47208,47160.79,47.21,KZT,EUABFIS,credit,credit 3 months
28.09.2023 9:32,545954,0141619676-0003,ISSUED,22935,22912.06,22.94,KZT,FASTCASH,credit,credit 12 months
28.09.2023 2:16,545842,0143265918-0003,ISSUED,26812,26785.19,26.81,KZT,EUABFIS,credit,credit 3 months
28.09.2023 1:13,545808,0135667258-0002,ISSUED,84142,84057.86,84.14,KZT,HALYK,credit,credit 36 months
28.09.2023 1:11,545806,0141163896-0009,ISSUED,10116,10105.88,10.12,KZT,EUABFIS,credit,credit 9 months
28.09.2023 1:11,545804,0134118127-0004,ISSUED,125614,125488.39,125.61,KZT,HALYK,credit,credit 36 months
28.09.2023 17:49,543458,0141925922-0004,REFUNDED,-228455,-228226.54,-228.46,KZT,EUABFIS,credit,credit 24 months
28.09.2023 12:49,541687,0141273982-0008,REFUNDED,-63339,-63275.66,-63.34,KZT,HALYK,credit,credit 36 months
28.09.2023 12:47,540792,0140396031-0012,REFUNDED,-63339,-63275.66,-63.34,KZT,HALYK,credit,credit 36 months
28.09.2023 17:54,535138,0138726311-0006,REFUNDED,-27484,-27456.52,-27.48,KZT,EUABFIS,credit,credit 9 months
