TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
18.11.2023 18:38,626586,0145397974-0019,REFUNDED,-59369.0,-59309.63,-59.37,KZT,HALYK,credit,credit 36 months
18.11.2023 19:01,627734,0138291882-0002,REFUNDED,-20857.0,-20836.14,-20.86,KZT,EUABFIS,credit,credit 12 months
18.11.2023 22:38,642947,0147425470-0005,REFUNDED,-30573.0,-30542.43,-30.57,KZT,EUABFIS,credit,credit 24 months
18.11.2023 14:02,644697,0138018656-0002,REFUNDED,-17807.0,-17789.19,-17.81,KZT,FASTCASH,credit,credit 12 months
18.11.2023 01:10,648642,0131702219-0003,REFUNDED,-31165.0,-31133.83,-31.17,KZT,HALYK,credit,credit 6 months
17.11.2023 23:55,649487,0136060340-0009,ISSUED,25118.0,25092.88,25.12,KZT,FASTCASH,credit,credit 12 months
18.11.2023 00:00,649502,0147933208-0001,ISSUED,17871.0,17853.13,17.87,KZT,FASTCASH,credit,credit 12 months
18.11.2023 00:31,649538,0123041980-0002,ISSUED,90800.0,90709.2,90.8,KZT,FASTCASH,credit,credit 12 months
18.11.2023 01:13,649587,0103714461-0007,ISSUED,64997.0,64932.0,65.0,KZT,FASTCASH,credit,credit 12 months
18.11.2023 01:35,649611,0144978971-0005,ISSUED,5979.0,5973.02,5.98,KZT,FASTCASH,credit,credit 12 months
18.11.2023 04:01,649701,0147947224-0003,ISSUED,52390.0,52337.61,52.39,KZT,HALYK,credit,credit 12 months
18.11.2023 07:39,649747,0136775541-0101,ISSUED,85290.0,85204.71,85.29,KZT,HALYK,credit,credit 36 months
18.11.2023 07:49,649753,55349895-0004,ISSUED,80780.0,80699.22,80.78,KZT,HALYK,credit,credit 36 months
18.11.2023 08:01,649758,45601906-0006,ISSUED,17850.0,17832.15,17.85,KZT,HALYK,credit,credit 6 months
18.11.2023 08:44,649769,0136775541-0102,ISSUED,133770.0,133636.23,133.77,KZT,HALYK,credit,credit 36 months
18.11.2023 08:45,649770,0141825358-0060,ISSUED,110061.0,109950.94,110.06,KZT,HALYK,credit,credit 24 months
18.11.2023 09:51,649812,0147912401-0003,ISSUED,260695.0,260434.3,260.7,KZT,HALYK,credit,credit 36 months
18.11.2023 10:08,649830,0147968855-0001,ISSUED,98893.0,98794.11,98.89,KZT,FASTCASH,credit,credit 12 months
18.11.2023 10:09,649831,0127183087-0001,ISSUED,79739.0,79659.26,79.74,KZT,HALYK,credit,credit 36 months
18.11.2023 10:39,649864,90871500-0007,ISSUED,227884.0,227656.12,227.88,KZT,HALYK,credit,credit 36 months
18.11.2023 11:01,649886,0139424139-0019,ISSUED,199770.0,199570.23,199.77,KZT,HALYK,credit,credit 24 months
18.11.2023 11:03,649889,79605713-0004,ISSUED,77307.0,77229.69,77.31,KZT,HALYK,credit,credit 36 months
18.11.2023 11:14,649915,87345244-0003,ISSUED,16317.0,16300.68,16.32,KZT,HALYK,credit,credit 6 months
18.11.2023 11:45,649973,96192152-0009,ISSUED,48773.0,48724.23,48.77,KZT,FASTCASH,credit,credit 24 months
18.11.2023 12:03,650008,0141715894-0007,ISSUED,12429.0,12416.57,12.43,KZT,FASTCASH,credit,credit 12 months
18.11.2023 12:29,650073,0142550579-0018,ISSUED,37619.0,37581.38,37.62,KZT,FASTCASH,credit,credit 12 months
18.11.2023 12:30,650077,0147492964-0006,ISSUED,97545.0,97447.45,97.55,KZT,HALYK,credit,credit 12 months
18.11.2023 12:48,650120,0146572530-0001,ISSUED,158721.0,138087.27,20633.73,KZT,HALYK,installment,installment 12 months
18.11.2023 13:05,650159,0147971523-0003,ISSUED,41747.0,41705.25,41.75,KZT,FASTCASH,credit,credit 12 months
18.11.2023 13:20,650184,0147977911-0001,ISSUED,116641.0,116524.36,116.64,KZT,HALYK,credit,credit 36 months
18.11.2023 13:32,650205,0119347671-0012,ISSUED,22982.0,22959.02,22.98,KZT,FASTCASH,credit,credit 12 months
18.11.2023 13:37,650214,0147978858-0001,ISSUED,47392.0,47344.61,47.39,KZT,FASTCASH,credit,credit 12 months
18.11.2023 14:09,650293,0111518925-0002,ISSUED,79727.0,79647.27,79.73,KZT,HALYK,credit,credit 36 months
18.11.2023 14:11,650297,0146736180-0010,ISSUED,36968.0,36931.03,36.97,KZT,HALYK,credit,credit 6 months
18.11.2023 14:33,650335,73525653-0024,ISSUED,65977.0,65911.02,65.98,KZT,HALYK,credit,credit 36 months
18.11.2023 14:39,650354,0145200563-0009,ISSUED,10817.0,10806.18,10.82,KZT,HALYK,credit,credit 6 months
18.11.2023 14:57,650410,0107968951-0018,ISSUED,91309.0,91217.69,91.31,KZT,FASTCASH,credit,credit 12 months
18.11.2023 15:01,650421,0142399864-0039,ISSUED,12466.0,12453.53,12.47,KZT,HALYK,credit,credit 6 months
18.11.2023 15:27,650471,0144047036-0013,ISSUED,23867.0,23843.13,23.87,KZT,HALYK,credit,credit 6 months
18.11.2023 15:34,650480,0147985552-0001,ISSUED,152548.0,152395.45,152.55,KZT,HALYK,credit,credit 36 months
18.11.2023 15:46,650511,0145941252-0007,ISSUED,17072.0,17054.93,17.07,KZT,HALYK,credit,credit 6 months
18.11.2023 16:01,650548,0142936507-0019,ISSUED,42870.0,42827.13,42.87,KZT,FASTCASH,credit,credit 12 months
18.11.2023 16:10,650571,0147982181-0001,ISSUED,89352.0,89262.65,89.35,KZT,HALYK,credit,credit 12 months
18.11.2023 17:05,650708,0147927993-0007,ISSUED,11443.0,11431.56,11.44,KZT,FASTCASH,credit,credit 12 months
18.11.2023 18:04,650829,0147102981-0003,ISSUED,104888.0,104783.11,104.89,KZT,HALYK,credit,credit 36 months
