TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
05.11.2023 11:06,603831,0145703458-0003,REFUNDED,-81840.0,-81758.16,-81.84,KZT,HALYK,credit,credit 36 months
05.11.2023 12:54,604782,95443891-0003,REFUNDED,-133042.0,-132908.96,-133.04,KZT,FASTCASH,credit,credit 24 months
05.11.2023 13:54,608907,0144721451-0004,REFUNDED,-23180.0,-23156.82,-23.18,KZT,HALYK,credit,credit 6 months
04.11.2023 23:52,619038,0146477269-0003,ISSUED,9702.0,9692.3,9.7,KZT,FASTCASH,credit,credit 12 months
05.11.2023 00:07,619038,0146477269-0003,REFUNDED,-9702.0,-9692.3,-9.7,KZT,FASTCASH,credit,credit 12 months
05.11.2023 01:11,619160,0117913851-0001,ISSUED,38895.0,38856.1,38.9,KZT,EUABFIS,credit,credit 12 months
05.11.2023 01:14,619167,0146248923-0002,ISSUED,170243.0,170072.76,170.24,KZT,FASTCASH,credit,credit 12 months
05.11.2023 01:44,619203,0146519711-0002,ISSUED,12948.0,12935.05,12.95,KZT,EUABFIS,credit,credit 24 months
05.11.2023 01:45,619205,0129257572-0006,ISSUED,89544.0,89454.46,89.54,KZT,HALYK,credit,credit 36 months
05.11.2023 01:59,619221,0135629579-0035,ISSUED,122067.0,121944.93,122.07,KZT,HALYK,credit,credit 6 months
05.11.2023 02:25,619246,0133696823-0006,ISSUED,67472.0,67404.53,67.47,KZT,FASTCASH,credit,credit 12 months
05.11.2023 03:03,619276,0138157824-0010,ISSUED,34233.0,34198.77,34.23,KZT,FASTCASH,credit,credit 12 months
05.11.2023 04:25,619311,0146525508-0005,ISSUED,9455.0,9445.54,9.46,KZT,EUABFIS,credit,credit 24 months
05.11.2023 04:31,619312,0146525508-0006,ISSUED,9594.0,9584.41,9.59,KZT,EUABFIS,credit,credit 24 months
05.11.2023 04:40,619314,0146525508-0008,ISSUED,7228.0,7220.77,7.23,KZT,EUABFIS,credit,credit 24 months
05.11.2023 09:22,619405,0128230635-0045,ISSUED,261475.0,261213.52,261.48,KZT,FASTCASH,credit,credit 12 months
05.11.2023 10:12,619466,0141170880-0003,ISSUED,49163.0,49113.84,49.16,KZT,EUABFIS,credit,credit 24 months
05.11.2023 10:24,619476,31299994-0010,ISSUED,63476.0,63412.52,63.48,KZT,FASTCASH,credit,credit 12 months
05.11.2023 11:21,619579,0146538256-0001,ISSUED,37643.0,37605.36,37.64,KZT,HALYK,credit,credit 6 months
