TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
31.10.2023 12:40,589585,0145302640-0003,REFUNDED,-41149.0,-41107.85,-41.15,KZT,EUABFIS,credit,credit 24 months
31.10.2023 19:15,601692,40006801-0185,REFUNDED,-68713.0,-63559.52,-5153.48,KZT,HALYK,installment,installment 6 months
31.10.2023 15:01,602343,0145049832-0003,REFUNDED,-221811.0,-221589.19,-221.81,KZT,EUABFIS,credit,credit 24 months
31.10.2023 19:23,604655,0139475872-0005,REFUNDED,-31275.0,-31243.72,-31.28,KZT,HALYK,credit,credit 12 months
31.10.2023 12:29,604949,0141415625-0002,REFUNDED,-45797.0,-45751.2,-45.8,KZT,FASTCASH,credit,credit 12 months
31.10.2023 22:47,605446,0142878455-0009,REFUNDED,-18559.0,-18540.44,-18.56,KZT,HALYK,credit,credit 6 months
31.10.2023 18:50,606770,0144721451-0002,REFUNDED,-21975.0,-21953.02,-21.98,KZT,HALYK,credit,credit 6 months
31.10.2023 14:24,606844,83892653-0004,REFUNDED,-16743.0,-16726.26,-16.74,KZT,FASTCASH,credit,credit 12 months
30.10.2023 20:45,606907,72168630-0004,ISSUED,29972.0,29942.03,29.97,KZT,HALYK,credit,credit 6 months
30.10.2023 23:54,607196,0146054600-0001,ISSUED,18255.0,18236.74,18.26,KZT,EUABFIS,credit,credit 12 months
31.10.2023 00:16,607219,0146061982-0002,ISSUED,13024.0,13010.98,13.02,KZT,EUABFIS,credit,credit 12 months
31.10.2023 00:21,607229,0145940097-0041,ISSUED,21222.0,21200.78,21.22,KZT,HALYK,credit,credit 6 months
31.10.2023 00:30,607240,0146074445-0002,ISSUED,34210.0,34175.79,34.21,KZT,HALYK,credit,credit 12 months
31.10.2023 00:35,607250,0145940097-0042,ISSUED,12618.0,12605.38,12.62,KZT,HALYK,credit,credit 6 months
31.10.2023 01:05,607278,0146076326-0001,ISSUED,64611.0,64546.39,64.61,KZT,HALYK,credit,credit 36 months
31.10.2023 01:15,607286,0145157822-0008,ISSUED,15889.0,15873.11,15.89,KZT,HALYK,credit,credit 6 months
31.10.2023 01:32,607299,82830105-0059,ISSUED,278402.0,278123.6,278.4,KZT,HALYK,credit,credit 36 months
31.10.2023 02:37,607351,0145669615-0001,ISSUED,10555.0,10544.44,10.56,KZT,FASTCASH,credit,credit 12 months
31.10.2023 02:49,607356,0144574422-0007,ISSUED,189016.0,188826.98,189.02,KZT,HALYK,credit,credit 36 months
31.10.2023 03:10,607372,0145986319-0003,ISSUED,21123.0,21101.88,21.12,KZT,EUABFIS,credit,credit 12 months
31.10.2023 03:19,607377,82830105-0060,ISSUED,178966.0,178787.03,178.97,KZT,HALYK,credit,credit 36 months
31.10.2023 04:18,607405,0139170854-0010,ISSUED,24136.0,24111.86,24.14,KZT,EUABFIS,credit,credit 24 months
31.10.2023 07:11,607435,47176983-0002,ISSUED,10138.0,10127.86,10.14,KZT,EUABFIS,credit,credit 12 months
31.10.2023 07:53,607443,0142999541-0004,ISSUED,109924.0,109814.08,109.92,KZT,EUABFIS,credit,credit 24 months
