TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
26.09.2023 19:51,543462,0143123456-0002,ISSUED,252791,252538.21,252.79,KZT,HALYK,credit,credit 36 months
26.09.2023 18:19,543291,0143048492-0007,ISSUED,1823435,1821611.56,1823.44,KZT,HALYK,credit,credit 36 months
26.09.2023 23:50,543751,0120845670-0009,ISSUED,12576,12563.42,12.58,KZT,FASTCASH,credit,credit 12 months
26.09.2023 23:44,543744,0142838366-0001,ISSUED,11076,11064.92,11.08,KZT,FASTCASH,credit,credit 12 months
26.09.2023 23:17,543719,0143154949-0001,ISSUED,199649,199449.35,199.65,KZT,FASTCASH,credit,credit 12 months
26.09.2023 22:38,543679,0143143892-0002,ISSUED,31531,31499.47,31.53,KZT,EUABFIS,credit,credit 6 months
26.09.2023 22:34,543672,0140730708-0003,ISSUED,29219,29189.78,29.22,KZT,FASTCASH,credit,credit 12 months
26.09.2023 22:25,543656,0143149934-0001,ISSUED,25970,25944.03,25.97,KZT,EUABFIS,credit,credit 9 months
26.09.2023 22:16,543645,0138252471-0002,ISSUED,17171,17153.83,17.17,KZT,FASTCASH,credit,credit 12 months
26.09.2023 21:48,543616,0138693713-0016,ISSUED,64788,64723.21,64.79,KZT,EUABFIS,credit,credit 3 months
26.09.2023 21:19,543571,0143054468-0004,ISSUED,84147,84062.85,84.15,KZT,FASTCASH,credit,credit 12 months
26.09.2023 21:07,543557,0141221659-0002,ISSUED,128529,128400.47,128.53,KZT,HALYK,credit,credit 36 months
26.09.2023 20:38,543528,0142129806-0002,ISSUED,90697,90606.3,90.7,KZT,EUABFIS,credit,credit 12 months
26.09.2023 20:28,543519,0143139556-0001,ISSUED,12528,12515.47,12.53,KZT,FASTCASH,credit,credit 12 months
26.09.2023 20:19,543506,0143139622-0001,ISSUED,43594,43550.41,43.59,KZT,FASTCASH,credit,credit 12 months
26.09.2023 20:17,543501,0126578021-0008,ISSUED,15603,15587.4,15.6,KZT,FASTCASH,credit,credit 12 months
26.09.2023 20:09,543488,74375205-0006,ISSUED,65287,65221.71,65.29,KZT,HALYK,credit,credit 12 months
26.09.2023 19:49,543458,0141925922-0004,ISSUED,228455,228226.54,228.46,KZT,EUABFIS,credit,credit 24 months
26.09.2023 19:39,543438,0141316489-0003,ISSUED,93574,93480.43,93.57,KZT,HALYK,credit,credit 36 months
26.09.2023 19:29,543420,0141925922-0003,ISSUED,7923,7915.08,7.92,KZT,EUABFIS,credit,credit 3 months
26.09.2023 19:22,543405,0143062459-0002,ISSUED,18683,18664.32,18.68,KZT,EUABFIS,credit,credit 6 months
26.09.2023 19:16,543397,0141920370-0002,ISSUED,58077,58018.92,58.08,KZT,HALYK,credit,credit 36 months
26.09.2023 19:24,543394,56553064-0031,REFUNDED,-15990,-15974.01,-15.99,KZT,FASTCASH,credit,credit 12 months
26.09.2023 19:14,543394,56553064-0031,ISSUED,15990,15974.01,15.99,KZT,FASTCASH,credit,credit 12 months
26.09.2023 19:01,543364,0143043673-0003,ISSUED,23367,23343.63,23.37,KZT,FASTCASH,credit,credit 12 months
26.09.2023 18:59,543360,0143131682-0002,ISSUED,21487,21465.51,21.49,KZT,HALYK,credit,credit 12 months
26.09.2023 18:53,543350,0143107179-0001,ISSUED,25649,25623.35,25.65,KZT,FASTCASH,credit,credit 12 months
26.09.2023 18:18,543289,0143005939-0004,ISSUED,46218,46171.78,46.22,KZT,EUABFIS,credit,credit 3 months
26.09.2023 19:20,543258,0143123456-0001,REFUNDED,-264735,-264470.26,-264.74,KZT,HALYK,credit,credit 36 months
26.09.2023 18:02,543258,0143123456-0001,ISSUED,264735,264470.26,264.74,KZT,HALYK,credit,credit 36 months
26.09.2023 17:55,543243,0143126948-0001,ISSUED,14880,14865.12,14.88,KZT,HALYK,credit,credit 6 months
26.09.2023 17:40,543212,0142110783-0004,ISSUED,5840,5834.16,5.84,KZT,FASTCASH,credit,credit 12 months
26.09.2023 17:09,543135,0142828762-0002,ISSUED,16528,16511.47,16.53,KZT,FASTCASH,credit,credit 12 months
26.09.2023 17:05,543126,0140629299-0002,ISSUED,62830,62767.17,62.83,KZT,FASTCASH,credit,credit 12 months
26.09.2023 17:03,543118,0142972241-0001,ISSUED,158172,158013.83,158.17,KZT,HALYK,credit,credit 12 months
26.09.2023 16:55,543104,0141996022-0001,ISSUED,7974,7966.03,7.97,KZT,EUABFIS,credit,credit 3 months
26.09.2023 16:37,543057,89767154-0002,ISSUED,42181,42138.82,42.18,KZT,EUABFIS,credit,credit 12 months
26.09.2023 16:18,543002,93289440-0007,ISSUED,95543,95447.46,95.54,KZT,HALYK,credit,credit 36 months
26.09.2023 16:14,542989,03791674-0055,ISSUED,16379,16362.62,16.38,KZT,EUABFIS,credit,credit 3 months
26.09.2023 15:52,542939,0143106838-0003,ISSUED,197041,196843.96,197.04,KZT,HALYK,credit,credit 60 months
26.09.2023 15:41,542909,0141857548-0006,ISSUED,20176,20155.82,20.18,KZT,FASTCASH,credit,credit 12 months
26.09.2023 14:56,542771,0135144941-0004,ISSUED,81372,81290.63,81.37,KZT,EUABFIS,credit,credit 3 months
26.09.2023 14:33,542714,0124825471-0014,ISSUED,14410,14395.59,14.41,KZT,FASTCASH,credit,credit 12 months
26.09.2023 14:20,542673,0141842046-0005,ISSUED,37049,37011.95,37.05,KZT,HALYK,credit,credit 6 months
26.09.2023 13:54,542625,0141681073-0012,ISSUED,17580,17562.42,17.58,KZT,HALYK,credit,credit 6 months
