TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
17.09.2023 22:26,528868,78166849-0003,ISSUED,31014,30982.99,31.01,KZT,EUABFIS,credit,credit 3 months
17.09.2023 22:30,528875,0142348682-0001,ISSUED,18264,18245.74,18.26,KZT,FASTCASH,credit,credit 12 months
17.09.2023 22:25,528865,0128291064-0006,ISSUED,43064,43020.94,43.06,KZT,FASTCASH,credit,credit 12 months
17.09.2023 21:43,528829,35863503-0003,ISSUED,12288,12275.71,12.29,KZT,EUABFIS,credit,credit 6 months
17.09.2023 21:17,528804,0140209971-0007,ISSUED,37451,37413.55,37.45,KZT,HALYK,credit,credit 12 months
17.09.2023 21:12,528797,0141787762-0001,ISSUED,58844,58785.16,58.84,KZT,EUABFIS,credit,credit 6 months
17.09.2023 21:02,528786,0138245543-0007,ISSUED,23539,23515.46,23.54,KZT,EUABFIS,credit,credit 3 months
17.09.2023 20:53,528781,99119798-0015,ISSUED,25786,25760.21,25.79,KZT,HALYK,credit,credit 12 months
17.09.2023 20:34,528759,0138466088-0003,ISSUED,9426,9416.57,9.43,KZT,EUABFIS,credit,credit 3 months
17.09.2023 20:31,528753,0142365667-0002,ISSUED,49416,49366.58,49.42,KZT,EUABFIS,credit,credit 3 months
17.09.2023 20:27,528742,55106808-0004,ISSUED,13545,13531.45,13.55,KZT,EUABFIS,credit,credit 3 months
17.09.2023 20:26,528738,0142086600-0010,ISSUED,15615,15599.38,15.62,KZT,HALYK,credit,credit 6 months
17.09.2023 20:20,528729,06657988-0034,ISSUED,32004,31972.0,32.0,KZT,FASTCASH,credit,credit 24 months
17.09.2023 20:05,528715,0141937765-0004,ISSUED,62533,62470.47,62.53,KZT,HALYK,credit,credit 36 months
17.09.2023 20:00,528707,0136816600-0003,ISSUED,21489,21467.51,21.49,KZT,FASTCASH,credit,credit 12 months
17.09.2023 19:55,528698,0142344812-0001,ISSUED,27920,27892.08,27.92,KZT,EUABFIS,credit,credit 3 months
17.09.2023 18:04,528593,35084938-0012,ISSUED,28319,28290.68,28.32,KZT,FASTCASH,credit,credit 12 months
17.09.2023 17:38,528559,0142352636-0002,ISSUED,606557,605950.44,606.56,KZT,FASTCASH,credit,credit 12 months
17.09.2023 17:31,528551,95608425-0010,ISSUED,41729,41687.27,41.73,KZT,EUABFIS,credit,credit 12 months
17.09.2023 17:35,528535,0142352636-0001,REFUNDED,-506494,-505987.51,-506.49,KZT,FASTCASH,credit,credit 12 months
17.09.2023 17:20,528535,0142352636-0001,ISSUED,506494,505987.51,506.49,KZT,FASTCASH,credit,credit 12 months
17.09.2023 15:37,528359,0142275207-0002,ISSUED,8799,8790.2,8.8,KZT,EUABFIS,credit,credit 3 months
17.09.2023 13:46,528151,0142290344-0003,ISSUED,7775,7767.22,7.78,KZT,EUABFIS,credit,credit 3 months
17.09.2023 13:35,528137,74305239-0001,ISSUED,60577,60516.42,60.58,KZT,FASTCASH,credit,credit 12 months
17.09.2023 13:14,528084,0142332999-0002,ISSUED,37261,37223.74,37.26,KZT,HALYK,credit,credit 12 months
17.09.2023 12:44,528008,0141895327-0003,ISSUED,32031,31998.97,32.03,KZT,EUABFIS,credit,credit 6 months
17.09.2023 13:13,528006,0142332896-0001,REFUNDED,-39303,-39263.7,-39.3,KZT,EUABFIS,credit,credit 3 months
17.09.2023 12:43,528006,0142332896-0001,ISSUED,39303,39263.7,39.3,KZT,EUABFIS,credit,credit 3 months
17.09.2023 12:02,527925,66077803-0022,ISSUED,15211,15195.79,15.21,KZT,EUABFIS,credit,credit 3 months
17.09.2023 12:02,527924,0142270446-0003,ISSUED,33578,33544.42,33.58,KZT,EUABFIS,credit,credit 3 months
17.09.2023 11:54,527902,0134322298-0015,ISSUED,33766,33732.23,33.77,KZT,EUABFIS,credit,credit 3 months
17.09.2023 11:51,527884,0142329398-0001,ISSUED,146124,145977.88,146.12,KZT,FASTCASH,credit,credit 24 months
