TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
05.10.2023 22:45,559685,0140317125-0001,ISSUED,37153.0,37115.85,37.15,KZT,HALYK,credit,credit 6 months
05.10.2023 22:19,559656,85688893-0007,ISSUED,9162.0,9152.84,9.16,KZT,EUABFIS,credit,credit 3 months
05.10.2023 22:18,559655,0143913161-0003,ISSUED,21839.0,21817.16,21.84,KZT,EUABFIS,credit,credit 3 months
05.10.2023 22:14,559645,0143997094-0002,ISSUED,141995.0,141853.0,142.0,KZT,HALYK,credit,credit 6 months
05.10.2023 22:12,559642,0140896787-0004,ISSUED,158776.0,158617.22,158.78,KZT,FASTCASH,credit,credit 12 months
05.10.2023 22:03,559630,0142739158-0005,ISSUED,16206.0,16189.79,16.21,KZT,EUABFIS,credit,credit 3 months
05.10.2023 22:03,559627,0144006089-0001,ISSUED,42010.0,41967.99,42.01,KZT,FASTCASH,credit,credit 12 months
05.10.2023 21:33,559581,0141973073-0005,ISSUED,50816.0,50765.18,50.82,KZT,EUABFIS,credit,credit 9 months
05.10.2023 21:28,559572,0138666311-0011,ISSUED,20884.0,20863.12,20.88,KZT,EUABFIS,credit,credit 6 months
05.10.2023 20:27,559495,0143968796-0002,ISSUED,66159.0,66092.84,66.16,KZT,EUABFIS,credit,credit 6 months
05.10.2023 20:26,559494,0141077457-0003,ISSUED,95994.0,95898.01,95.99,KZT,HALYK,credit,credit 36 months
05.10.2023 19:45,559442,0143895978-0006,ISSUED,25851.0,25825.15,25.85,KZT,EUABFIS,credit,credit 12 months
05.10.2023 18:59,559372,0139547251-0005,ISSUED,43562.0,43518.44,43.56,KZT,FASTCASH,credit,credit 12 months
05.10.2023 18:31,559328,0143746748-0004,ISSUED,23992.0,23968.01,23.99,KZT,HALYK,credit,credit 6 months
05.10.2023 18:17,559304,0143134505-0002,ISSUED,16901.0,16884.1,16.9,KZT,EUABFIS,credit,credit 3 months
