TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
16.10.2023 10:17,575127,97649645-0002,REFUNDED,-58102.0,-58043.9,-58.1,KZT,FASTCASH,credit,credit 12 months
15.10.2023 19:31,578244,0139897803-0002,ISSUED,17111.0,17093.89,17.11,KZT,HALYK,credit,credit 6 months
15.10.2023 23:57,578650,0105598916-0011,ISSUED,28950.0,28921.05,28.95,KZT,FASTCASH,credit,credit 12 months
16.10.2023 03:29,578840,55409174-0011,ISSUED,67204.0,67136.8,67.2,KZT,HALYK,credit,credit 6 months
16.10.2023 04:09,578851,0144392277-0006,ISSUED,23778.0,23754.22,23.78,KZT,EUABFIS,credit,credit 3 months
16.10.2023 06:14,578866,0128099606-0001,ISSUED,25917.0,25891.08,25.92,KZT,FASTCASH,credit,credit 12 months
16.10.2023 07:17,578874,0134298543-0013,ISSUED,39888.0,39848.11,39.89,KZT,HALYK,credit,credit 12 months
16.10.2023 08:16,578889,88289295-0004,ISSUED,12766.0,12753.23,12.77,KZT,EUABFIS,credit,credit 3 months
16.10.2023 08:16,578890,0144819087-0001,ISSUED,17398.0,17380.6,17.4,KZT,FASTCASH,credit,credit 12 months
16.10.2023 08:21,578894,0143970598-0007,ISSUED,11210.0,11198.79,11.21,KZT,EUABFIS,credit,credit 3 months
16.10.2023 08:41,578902,89696605-0011,ISSUED,21275.0,21253.72,21.28,KZT,EUABFIS,credit,credit 6 months
16.10.2023 08:47,578906,97426100-0003,ISSUED,19682.0,19662.32,19.68,KZT,EUABFIS,credit,credit 6 months
16.10.2023 09:17,578936,0144327371-0003,ISSUED,93852.0,93758.15,93.85,KZT,HALYK,credit,credit 36 months
16.10.2023 09:23,578945,82674511-0019,ISSUED,35131.0,35095.87,35.13,KZT,HALYK,credit,credit 6 months
16.10.2023 09:31,578953,0131875630-0019,ISSUED,28726.0,28697.27,28.73,KZT,EUABFIS,credit,credit 12 months
16.10.2023 10:27,579036,0138412532-0026,ISSUED,23429.0,23405.57,23.43,KZT,HALYK,credit,credit 12 months
16.10.2023 10:54,579075,60373817-0013,ISSUED,18757.0,18738.24,18.76,KZT,EUABFIS,credit,credit 12 months
16.10.2023 10:57,579086,0144874004-0003,ISSUED,30174.0,30143.83,30.17,KZT,FASTCASH,credit,credit 12 months
16.10.2023 11:00,579092,0131067175-0011,ISSUED,76847.0,76770.15,76.85,KZT,EUABFIS,credit,credit 24 months
16.10.2023 11:08,579109,0141529183-0025,ISSUED,12734.0,12721.27,12.73,KZT,HALYK,credit,credit 6 months
16.10.2023 11:51,579202,0144850794-0003,ISSUED,21685.0,21663.31,21.69,KZT,EUABFIS,credit,credit 12 months
16.10.2023 11:58,579223,92699789-0002,ISSUED,12454.0,12441.55,12.45,KZT,EUABFIS,credit,credit 24 months
16.10.2023 12:00,579234,0144868169-0005,ISSUED,14444.0,14429.56,14.44,KZT,FASTCASH,credit,credit 12 months
16.10.2023 12:10,579268,0131875630-0021,ISSUED,40943.0,40902.06,40.94,KZT,EUABFIS,credit,credit 24 months
16.10.2023 12:17,579283,0144897436-0002,ISSUED,7487.0,7479.51,7.49,KZT,FASTCASH,credit,credit 12 months
16.10.2023 12:25,579308,0131875630-0024,ISSUED,34046.0,34011.95,34.05,KZT,EUABFIS,credit,credit 24 months
16.10.2023 12:34,579343,0131875630-0025,ISSUED,50516.0,50465.48,50.52,KZT,FASTCASH,credit,credit 24 months
16.10.2023 12:41,579361,97649645-0004,ISSUED,53846.0,53792.15,53.85,KZT,FASTCASH,credit,credit 12 months
16.10.2023 12:52,579395,78551589-0007,ISSUED,5897.0,5891.1,5.9,KZT,FASTCASH,credit,credit 12 months
16.10.2023 12:56,579403,0141915476-0004,ISSUED,57177.0,57119.82,57.18,KZT,HALYK,credit,credit 36 months
16.10.2023 12:58,579407,0141897554-0004,ISSUED,28258.0,28229.74,28.26,KZT,EUABFIS,credit,credit 24 months
16.10.2023 13:06,579428,0144900545-0002,ISSUED,21456.0,21434.54,21.46,KZT,EUABFIS,credit,credit 24 months
16.10.2023 13:35,579482,0144901910-0002,ISSUED,8173.0,8164.83,8.17,KZT,FASTCASH,credit,credit 12 months
16.10.2023 13:41,579496,0144900538-0001,ISSUED,116026.0,115909.97,116.03,KZT,EUABFIS,credit,credit 24 months
16.10.2023 13:50,579523,0143260094-0019,ISSUED,43457.0,43413.54,43.46,KZT,EUABFIS,credit,credit 24 months
16.10.2023 14:03,579544,0142329725-0016,ISSUED,16012.0,15995.99,16.01,KZT,EUABFIS,credit,credit 24 months
16.10.2023 14:42,579643,0144907314-0003,ISSUED,20335.0,20314.66,20.34,KZT,FASTCASH,credit,credit 12 months
16.10.2023 17:06,579643,0144907314-0003,REFUNDED,-20335.0,-20314.66,-20.34,KZT,FASTCASH,credit,credit 12 months
16.10.2023 14:49,579671,0144246344-0026,ISSUED,22865.0,22842.13,22.87,KZT,HALYK,credit,credit 12 months
16.10.2023 14:51,579678,0143405271-0002,ISSUED,15490.0,15474.51,15.49,KZT,EUABFIS,credit,credit 24 months
16.10.2023 15:07,579740,0144825553-0002,ISSUED,18242.0,18223.76,18.24,KZT,EUABFIS,credit,credit 24 months
16.10.2023 15:15,579765,0143988362-0007,ISSUED,50214.0,50163.79,50.21,KZT,FASTCASH,credit,credit 12 months
