TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType,Unnamed: 11,Unnamed: 12
24.09.2023 23:59,540232,52350385-0001,ISSUED,40902,40861.1,40.9,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 22:44,540146,76985795-0004,ISSUED,126694,126567.31,126.69,KZT,EUABFIS,credit,credit 36 months,,
24.09.2023 22:21,540110,0138853273-0027,ISSUED,26218,26191.78,26.22,KZT,HALYK,credit,credit 12 months,,
24.09.2023 23:46,540215,0142975288-0001,ISSUED,30598,30567.4,30.6,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 23:41,540208,0141950138-0011,ISSUED,26745,26718.25,26.75,KZT,HALYK,credit,credit 12 months,,
24.09.2023 23:16,540179,0142861161-0020,ISSUED,35044,35008.96,35.04,KZT,HALYK,credit,credit 12 months,,
24.09.2023 23:13,540168,47075892-0004,REFUNDED,-18227,-18208.77,-18.23,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 23:00,540168,47075892-0004,ISSUED,18227,18208.77,18.23,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 22:49,540154,0140854594-0011,ISSUED,25601,25575.4,25.6,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 22:39,540136,0142970466-0002,ISSUED,72340,72267.66,72.34,KZT,HALYK,credit,credit 36 months,,
24.09.2023 22:22,540112,0135585332-0004,ISSUED,20968,20947.03,20.97,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 22:11,540100,0133311041-0001,ISSUED,20042,20021.96,20.04,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 22:04,540096,0141163281-0002,ISSUED,12763,12750.24,12.76,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 21:57,540090,26261421-0040,ISSUED,38275,38236.72,38.28,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 21:33,540070,55530926-0001,ISSUED,34881,34846.12,34.88,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 21:15,540053,0142651503-0004,ISSUED,8072,8063.93,8.07,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 21:14,540052,91004376-0008,ISSUED,24830,24805.17,24.83,KZT,HALYK,credit,credit 6 months,,
24.09.2023 20:35,540015,0142925743-0004,ISSUED,132608,132475.39,132.61,KZT,HALYK,credit,credit 36 months,,
24.09.2023 20:33,540011,0135187387-0016,ISSUED,11453,11441.55,11.45,KZT,HALYK,credit,credit 6 months,,
24.09.2023 20:05,539982,0129394858-0001,ISSUED,18884,18865.12,18.88,KZT,EUABFIS,credit,credit 6 months,,
24.09.2023 19:59,539973,55238339-0040,ISSUED,55808,55752.19,55.81,KZT,HALYK,credit,credit 36 months,,
24.09.2023 19:40,539942,07940822-0018,ISSUED,72760,72687.24,72.76,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 19:31,539923,0141889933-0008,ISSUED,46365,46318.63,46.37,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 19:27,539920,0132942431-0003,ISSUED,7640,7632.36,7.64,KZT,EUABFIS,credit,credit 6 months,,
24.09.2023 19:21,539913,0142951108-0003,ISSUED,39546,39506.45,39.55,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 19:17,539907,0142845571-0002,ISSUED,6973,6966.03,6.97,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 19:16,539906,82670921-0002,ISSUED,14188,14173.81,14.19,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 18:51,539881,92116714-0006,ISSUED,19351,19331.65,19.35,KZT,HALYK,credit,credit 6 months,,
24.09.2023 18:49,539875,0142954907-0001,ISSUED,9975,9965.02,9.98,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 18:34,539859,0140843675-0005,ISSUED,30508,30477.49,30.51,KZT,HALYK,credit,credit 6 months,,
24.09.2023 18:25,539843,0142952327-0002,ISSUED,11321,11309.68,11.32,KZT,HALYK,credit,credit 6 months,,
24.09.2023 18:23,539838,0140904695-0001,ISSUED,54903,54848.1,54.9,KZT,HALYK,credit,credit 36 months,,
24.09.2023 18:18,539829,0135187387-0015,ISSUED,17216,17198.78,17.22,KZT,HALYK,credit,credit 6 months,,
24.09.2023 21:19,539814,0142952327-0001,REFUNDED,-19512,-19492.49,-19.51,KZT,HALYK,credit,credit 6 months,,
24.09.2023 18:10,539814,0142952327-0001,ISSUED,19512,19492.49,19.51,KZT,HALYK,credit,credit 6 months,,
24.09.2023 17:43,539771,55081561-0013,ISSUED,21691,21669.31,21.69,KZT,EUABFIS,credit,credit 6 months,,
24.09.2023 17:21,539742,0141807389-0010,ISSUED,12102,12089.9,12.1,KZT,HALYK,credit,credit 6 months,,
24.09.2023 16:51,539677,0142270446-0004,ISSUED,7988,7980.01,7.99,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 16:32,539650,0142944874-0001,ISSUED,28263,28234.74,28.26,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 16:06,539580,0137786460-0005,ISSUED,9220,9210.78,9.22,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 15:59,539566,0142837578-0001,ISSUED,14429,14414.57,14.43,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 15:51,539547,0142396065-0001,ISSUED,17713,17695.29,17.71,KZT,EUABFIS,credit,credit 6 months,,
