TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType,Unnamed: 11,Unnamed: 12
24.09.2023 15:46,539532,0132103223-0003,ISSUED,19152,19132.85,19.15,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 15:23,539489,40248677-0007,ISSUED,104820,104715.18,104.82,KZT,EUABFIS,credit,credit 6 months,,
24.09.2023 15:21,539485,0142897221-0005,ISSUED,11518,11506.48,11.52,KZT,HALYK,credit,credit 6 months,,
24.09.2023 14:58,539434,0132471189-0006,ISSUED,27628,27600.37,27.63,KZT,EUABFIS,credit,credit 6 months,,
24.09.2023 14:40,539408,0142923625-0009,ISSUED,112190,112077.81,112.19,KZT,HALYK,credit,credit 36 months,,
24.09.2023 14:26,539374,79624803-0014,ISSUED,87358,87270.64,87.36,KZT,HALYK,credit,credit 48 months,,
24.09.2023 13:40,539279,0142931019-0001,ISSUED,8127,8118.87,8.13,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 13:36,539271,0141273015-0006,ISSUED,23724,23700.28,23.72,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 13:29,539258,0142890642-0004,ISSUED,127624,127496.38,127.62,KZT,HALYK,credit,credit 36 months,,
24.09.2023 13:17,539239,0142913760-0002,ISSUED,44867,44822.13,44.87,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 12:59,539207,0136325839-0034,ISSUED,49911,49861.09,49.91,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 12:43,539177,0142313272-0003,ISSUED,27135,27107.86,27.14,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 12:41,539169,0142880491-0008,ISSUED,29451,29421.55,29.45,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 12:04,539090,0142880491-0007,ISSUED,14183,14168.82,14.18,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 11:45,539058,0142284561-0003,ISSUED,233706,233472.29,233.71,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 11:37,539049,0141723626-0006,ISSUED,48337,48288.66,48.34,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 11:19,539016,0142543829-0008,ISSUED,28531,28502.47,28.53,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 11:19,539015,0142925596-0002,ISSUED,10874,10863.13,10.87,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 11:16,539012,98945375-0003,ISSUED,15747,15731.25,15.75,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 11:15,539011,0142923625-0003,ISSUED,307155,306847.84,307.16,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 11:12,539007,0137493330-0006,ISSUED,19313,19293.69,19.31,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 11:07,539001,0141022022-0009,ISSUED,83423,83339.58,83.42,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 10:55,538984,34123593-0002,ISSUED,22130,22107.87,22.13,KZT,EUABFIS,credit,credit 6 months,,
24.09.2023 10:47,538976,0139114140-0003,ISSUED,75135,75059.86,75.14,KZT,HALYK,credit,credit 12 months,,
24.09.2023 10:29,538959,0137566934-0010,ISSUED,70819,70748.18,70.82,KZT,HALYK,credit,credit 36 months,,
24.09.2023 9:59,538932,0139294437-0018,ISSUED,23789,23765.21,23.79,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 8:56,538902,61002101-0009,ISSUED,10325,10314.67,10.33,KZT,EUABFIS,credit,credit 3 months,,
24.09.2023 7:55,538881,0129621108-0008,ISSUED,20087,20066.91,20.09,KZT,HALYK,credit,credit 6 months,,
24.09.2023 7:19,538873,0135169681-0002,REFUNDED,-7419,-7411.58,-7.42,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 6:48,538873,0135169681-0002,ISSUED,7419,7411.58,7.42,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 1:58,538814,0142912483-0001,ISSUED,176023,175846.98,176.02,KZT,HALYK,credit,credit 36 months,,
24.09.2023 0:26,538757,52534600-0001,ISSUED,14603,14588.4,14.6,KZT,EUABFIS,credit,credit 6 months,,
24.09.2023 0:07,538749,0132117549-0010,ISSUED,47869,47821.13,47.87,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 0:01,538746,0142906140-0001,ISSUED,39457,39417.54,39.46,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 0:00,538744,0140089271-0025,ISSUED,14940,14925.06,14.94,KZT,HALYK,credit,credit 6 months,,
24.09.2023 5:59,538066,69562192-0019,REFUNDED,-89108,-89018.89,-89.11,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 18:20,520618,0138850908-0003,REFUNDED,-6449,-6442.55,-6.45,KZT,FASTCASH,credit,credit 12 months,,
24.09.2023 15:40,519951,0141889933-0002,REFUNDED,-46837,-46790.16,-46.84,KZT,FASTCASH,credit,credit 12 months,,
